Topics,Helpers,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Background,,Can you briefly tell me about yourself?,"My name is EMC Clint Anderson. I have been in the Navy for about eight years, ever since 2000 for active duty and then eight more years as a reservist since 2008 until 2016. I went to college at the end of the tour that I did and the Navy gave me free benefits so I've been going to my bachelor's course at the University of California at Berkeley and then my master's course at the University of Southern California. I'm studying game development. I also work for the University of Southern California's Institute for Creative Technologies.",Can you briefly introduce yourself?,tell me about yourself,What is a synopsis of your past?,What is your background?,,,,,,
Background,,Who are you and what do you do?,"My name is EMC Clint Anderson, that's Electrician's Mate Clinton Anderson. I was born in Los Angeles, California. I was raised there most of my life and I graduated from high school there. A couple of years after graduating from high school, I joined the United States Navy. I was an Electrician's Mate for eight years. I served on an aircraft carrier. We went on many deployments. A deployment is when you go to war, you fight. We fought in the Iraq war. I went on three deployments and it was a really great time in my life. I had a lot of fun. At the end of the eight years, I decided that the Navy wasn't quite a career for me. So, I got out of the Navy. I started using the education benefits that we received and I started going to the University of California at Berkeley. I was majoring in computer science and afterwards, I started getting my master's degree from the University of Southern California. I also had a job at the Institute for Creative Technologies. It's been a lot of fun, this whole time. Thanks to the Navy.",Tell me your life story.,What is your history?,I want to know everything about you?,Explain your background.,,,,,,
Background,,What is your name?,"My name is Chief Electrician's Mate Clinton Anderson, that's EMC for Electrician's Mate Chief.",Who are you?,What do people call you?,How are you addressed?,,,,,,,
Background,,What year were you born?,"I was born in 1979. So, right now, I am 37 years old.",When were you born?,What is your date of birth?,What time were you born?,When was your birth year?,Which year were you born?,,,,,
Background,,How old are you now?,I'm thirty seven years old.,What is your age?,How many years have you been alive?,How many birthdays have you had?,You look old.,Are you my age?,Are you old?,,,,
Background,,When is your birthday?,My birthday is April 19th 1979.,What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,,,,,
Background,,Where did you grow up?,"I grew up in Los Angeles, California. I was born there. I moved around when I was younger but I eventually graduated from high school in California.",Where did you spend your childhood?,Where are you from?,Where did you go to high school?,Where's your hometown?,Where do you call home?,Were you born here?,,,,
Background,,Tell me about your childhood.,"So, I have a childhood that's pretty similar to many military people that I meet. When I was young, my parents divorced. My father, he was in the army. So I didn't see him that much. I lived with my mother for a long time. We moved from state to state. I lived in Washington for a while, I lived in Alabama for a while. Eventually, I moved back with my father instead of my mother, in California. So, I have actually seen a lot of America, thanks to their divorce. Eventually, I graduated from high school and after high school, me and my father we didn't really get along so I broke away from him and a couple of years afterwards I realized that I needed some kind of jobs help me with my finances, help me, you know find some kind of direction in life. So, that's when I joined the US Navy Reserve and the US Navy.",What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,Were you a bad kid?,What kind of kid were you?,What happened when you were young?,,
Background,,Tell me about your family.,"I had a great opportunity to know most of my family throughout my lifetime. My parents were divorced, so that means that I spent sometime with my mother's family, sometime with my father's family, sometime with my father's mother and sometimes with my mother's mother. So, I bounced around from household to household when I was a youth. I didn't really form any strong bonds with anyone but I did get an opportunity to see most of the world so I spent a couple years with my grandmother in Alabama. So, I got to shoot a few guns there and got to climb mountains and do all of that country stuff that, you know, a lot of people come into the Navy with. I just also lived in Michigan and it's kind of an impoverished area, if you have been watching movies and things, you probably know about this but it's developed my character in a lot of ways. Eventually, I finally moved to California and I have to say, out of all the places that I've been, which is all over America, California is the right place to be. It has a temperature that I want, the people and the diversity I want. So, maybe from now on I'll always stay in California.",What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,,,,,
Background,,Can you tell me more about Michigan?,"In Michigan, it's the place that I stayed had a diverse amount of people but it was mostly crime ridden in some places. I've seen lots of things that you see on movies. For instance, drug use, some violence here and there. I've seen more graphic things like prostitution, homeless shelter and things like that. But those are things that I think maybe turned me into wanting to help my society a little bit more. Those are negative things. These are things that kind of pushed me to want to make the world a better place because I saw them. So, even though Michigan was, the part that I grew up in, Flint, isn't the, you know, ideal city, it is a good place to grow up and develop your character.",How was your time spent in Michigan?,What impact did Michigan have on your childhood?,Did you become who you are because of where you grew up?,How is Detroit?,How is Michigan?,What is Michigan like?,,,,
"Background, Education",,What kind of student were you?,"So, the type of student that I was in college, in high school and in elementary school, it varied. It was kind of like a sine wave. So, when I was in elementary school, I always took tests and they always said that I was like very very high achieving or something like that. I always scored really high on my IQs, so I got the impression that I was a really bright kid. In high school, it kind of dipped down. I was a little bit more independent. I stopped doing my homework. I stopped listening to teachers. I started hanging out with friends a lot more. So, my 4.0s and 3.8s started  going down to you know, very very low. That's one of the reason that I didn't go to college right away. I think many people in the nuclear field like I'm in had a very similar story. I'd say more than half the people had that story. They were bright as kids but they kind of somehow lost their way, ended up going to community college and then going to the military or some other situation. So, going through the military actually helped me out a lot because it taught me a lot of self discipline, a lot of reasons to get motivated to study a lot. So, after I finished my active duty Navy career, I went back to college and I was on par. I started doing well with the smarts that I was given.",How were you in school?,Were you a good student?,What are your study habits like?,Did your teachers like you?,Did you work hard in school?,Did you get good grades in school?,,,,
Background,Navy,When did you join the Navy?,"I joined the Navy in 2000, that was right before we had the 9/11 attacks. I was there for eight years and then I joined the US Navy Reserve in 2008.",What year did you join the Navy?,When did you sign up for the military?,When did you begin serving?,When did you sign your Navy contract?,When did you start your Navy career?,,,,,
Background,Navy,Are you currently serving in the military?,"Right now, I'm currently serving as a Chief Electrician's Mate for the US Navy Reserve. I did active duty as Electrician's Mate as well but that was under the nuclear field. Right now, because you can't really serve in the nuclear field as a reservist, I'm just a normal Electrician's Mate.",Are you currently in the Navy?,Are you in the Navy now?,Are you still in the Navy?,Are you still in the military?,Are you in the military now?,Did you leave the Navy?,,,,
Background,Navy,What is your current rank and duty position now?,"Right now, I'm a Chief. In the pay grade scale, that's an E7. There are E1 through E9 pay grades for enlisted and it's on the seventh level of that.",What are you currently ranked?,What is your position in the Navy?,Are you high up in the Navy?,What is your position in the military?,Are you a boss in the Navy?,,,,,
