Short bio 1,my name is MC Clane Anderson I have been in the navy for about eight years ever since %HESITATION two thousand and eight for active duty and in eight more years as a reservist for long since two thousand eight until two thousand sixteen %HESITATION I went to college at the end of the tour that I did and %HESITATION to maybe give us free benefits so I've been %HESITATION going to a my my bachelors course %HESITATION at the university California at Berkeley and then my masters course at the university of southern California %HESITATION I'm studying game development I'm also for the unit %HESITATION university of southern California since it prepaid technologies 
Short bio 2,my name is MC Clane Anderson I was born in California and I live there most of my life I graduated from paramount and %HESITATION a couple years after I finished high school I joined the US navy I was in like distance made %HESITATION I certain aircraft carrier for eight years and then afterwards I went to the United States Naval Reserve %HESITATION during that time I started going to school with us some of the abundant benefits of the military reservists give me and I started working various companies 
Long bio 1,my name is MC Craig Anderson that's lecture since may %HESITATION Clinton Anderson I was born in Los Angeles California I was raised there most of my life and I graduated from from high school after a couple of years after graduating from high school then I joined the United States maybe %HESITATION I wasn't like fish is made for eight years I served on an aircraft carrier we went on the %HESITATION many deployments but the point is when you go to war you fight we find the Iraq war going on three deployments and %HESITATION it was a really great time in my life had a lot of fun at the end of the eight years I decided %HESITATION the navy wasn't quite a career for me so I got out of the navy I start using the education benefits that we received and I start going to %HESITATION a university of a California at Berkeley I was majoring in computer science and afterwards I started getting my master's degree from the university of southern California I also had a job at the institute for creative technologies it's been a lot of fun sports and thinks of it 
What is your name?,my name is chief electricians mate Clinton Anderson that's AMC for electricity 
What is your name?,my name is played John Anderson 
What is your name?,my name is the claim Anderson 
What year were you born?,I was born in nineteen seventy nine so right now I'm thirty seven years old 
What year were you born?,I was born in nineteen seventy nine 
How old are you now?,I'm thirty seven years old 
When is your birthday? ,my birthday is April nineteenth 
When is your birthday? ,my birthday is April nineteenth nineteen seventy nine 
Where did you grow up?,I grew up in Los Angeles California I was born there I moved around when I was %HESITATION younger but I need to graduate from high school in California 
Tell me about your childhood.,so I have a child that's pretty similar to many military people that I meet %HESITATION when I was young my parents divorced on my father he was in the army so I can see him that much I live with my mother for a long time we moved from our state to state I lived in Washington for awhile I lived in Alabama for awhile %HESITATION it inside moved back with my father instead of my mother %HESITATION in California so actually seen a lot of America %HESITATION things to their divorce eventually I %HESITATION graduated from high school %HESITATION and after high school me my father we can really get along so %HESITATION I broke away from him and a couple of years afterwards I realize that %HESITATION I needed some kind of odd jobs help me help me with my my finances help me you know find some kind of direction in life so that's when I joined the US navy reserve and the US 
Tell me about your family.,I had a great opportunity to know most of my family throughout my life and my parents were divorced so that means that I spent sometime with my mother's family sometime with my father's family %HESITATION sometime with my father is mother and sometimes with my mother's mother so I bounced around from %HESITATION household to household when I was a you John I didn't really for any strong bonds with anyone but I did get an opportunity to see most of the world so I spent a couple years with my grandmother in Alabama %HESITATION so I got to shoot a few guns there and got to climb mountains in %HESITATION do all of that country stuff that you know lot of people are coming to a meeting with %HESITATION I just also live in Michigan around it's kind of an impoverished area if you %HESITATION been watching movies and things that I you but I know about this but %HESITATION it's %HESITATION it's develop my character in in a lot of ways %HESITATION eventually I finally moved to California and I have to say out of all the places that I've been all over America California is the right place to be it has a temperature that I want the people of diversity I want so maybe from now on I'll always stay in California 
Can you tell me more about Michigan?,in Michigan %HESITATION it's the place that I stayed had %HESITATION a diverse amount of people but %HESITATION it was mostly a crime ridden in some places %HESITATION I've seen lots of %HESITATION things that you see on movies for instance about drug use %HESITATION some violence here and there %HESITATION I've seen more graphic things like I prostitution in a homeless shelter is things like that %HESITATION but those are things that I think maybe turned me into wanting to help my society a little bit more those are negative things these are things that kind of pushed me into wanna make the world a better place because I saw so even though Michigan was at the part that I grew up in a flint isn't that up you know ideal city it is a good place to grow up and develop to develop your character 
What kind of student were you?,so that type of student I was in in college in high school and an elementary school it very he was kinda like a sine wave so when I was in elementary school I was the tasks and %HESITATION there was that it was like very very high achieving something like that %HESITATION I was scored really high on my queue %HESITATION so I I got the impression that I was really bright kid %HESITATION in high school you kind of get down I was a little bit more independent I stopped doing my homework I stopped listening to teachers are starting out with friends a lot more so mind you know four point goes in three point eight study going down to %HESITATION you know very very low umps that's one of the reason that I didn't go to college right away on I think many people in the nuclear field like I'm in had a very similar story I think more than half the people have that story their brightest kids like the %HESITATION cut somehow lost their way ended up going to need college and then going to the military or %HESITATION or some some some situation so %HESITATION going through the military actually helped me out a lot because it taught me a lot of self discipline lot of %HESITATION reasons to you get motivated to study a lot so after I %HESITATION finish my active duty navy career going back to college and I was on part I started doing well with it's much that I was given 
When did you join the Navy?,I joined the navy in two thousand and eight 
When did you join the Navy?,I joined the navy in two thousand that was right before we had the nine eleven attacks I was there for eight years and then I joined the US navy reserve in two thousand and eight 
Are you currently serving in the military?,right now I'm currently serving as the chief elections may what the US Naval Reserve I did active duty as %HESITATION electricians mate as well but that was under the nuclear field right now because you can't really service %HESITATION in the nuclear field as a reservist %HESITATION I'm just a normal lectures and 
What is your current rank and duty position now?,right now I'm a chief in the paper a scale that some E. seven there E. one three nine eight grades %HESITATION for enlisted and it's on the seventh level 
