Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
Background,,carlosrios,Who are you and what do you do?,"So my name is Carlos Rios. I'm a logistics lead supporting marine corps projects. I'm originally from Connecticut or New Haven, Connecticut. My mother and father are from Puerto Rico they migrated over to Connecticut and then from there after about six well I was about seven years old and moved over to a Philadelphia where I spent most of my most of my youth. About age 18-19 years old graduated high school and joined the marine corps. Twenty three years later, retired. During that time of course I got married. I have been married for twenty seven years. I have two great kids, one currently attending USC and one in the near future want to attend Clemson, South Carolina where I currently reside after my retirement from the marine corps. I spent two years as a contractor supporting the marine corps and I personally think I did such a good job that the government decided to bring it over to that side and support as a government employee and I've been doing that for about seven years high manage everything from my computer, servers, laptops to drones.",What do you do?,What is your history?,I want to know everything about you?,Explain your background.,what is a deployment?,Tell me about yourself,Who are you?,what's deployment?,,,,,,,,,,,,,,,,,
Background,,carlosrios,What is your name?,My name is Carlos Rios.,Who are you?,What do people call you?,How are you addressed?,What is your name?,hi,Hello,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,What year were you born?,I was born in 1967.,When were you born?,What is your date of birth?,What time were you born?,When was your birth year?,Which year were you born?,,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,How old are you now?,I'm 50 years old.,What is your age?,How many years have you been alive?,How many birthdays have you had?,You look old.,Are you my age?,Are you old?,What's your age?,,,,,,,,,,,,,,,,,,
Background,,carlosrios,When is your birthday?,"My birthday is December 1967, December 9th.",What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,,,,,,,,,,,,,,,,,,,,
"Background, Childhood",,carlosrios,Where did you grow up?,"I grew up in Philadelphia, originally from New Haven Connecticut.",Where did you spend your childhood?,Where are you from?,Where did you go to high school?,Where's your hometown?,Where do you call home?,Were you born here?,Where were you born?,Where did you come from?,,,,,,,,,,,,,,,,,
"Background, Childhood",,carlosrios,Tell me about your childhood?,"My childhood was kind of average, of course, low income, single parent, government assistant.  My dad lived in Puerto Rico, my mother lived in Philadelphia; divorced.  But had a good childhood, always had the necessities. There's a difference between the necessities, what I need and what I want; we always had our needs.",What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,Were you a bad kid?,What kind of kid were you?,What happened when you were young?,did you get along with your parents?,did your parents encourage you to join the navy?,were your parents okay with you joining the army?,,,,,,,,,,,,,,
"Background, Family",,carlosrios,Tell me about your family?,"Of course, my mother raised us. I had a brother and two sisters that we always still keep in touch and again we've all went different path. path you know in our lives.  They lived in another country and we still keep in communication.  Great thing about Facebook so we still try to communicate with every week with each other so.",What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,how are your parents?,how is your family?,Are you close with your parents?,Do you like your family?,do you get along with your dad and mom?,,,,,,,,,,,,,,,
"Background, Education",,carlosrios,What kind of student were you?,"So what type of student was I through my education years.  From high school I got a bachelor's, where I finish my career with a bachelors, or my education with a bachelor's degree.  so I think I was in that I was a above average during my young year in my early years all the way to about 10th grade. 11th grade I was below average.  School wasn't the most important thing in in my life back then and there's plenty of reasons I can tell you or I can use as an excuse, but at the end of day I was a below average in fact I dropped out of school after I've done my 11th grade and then decided not to go back until circumstances pushed me back into education and that's probably where I started succeeding.  But again average student, below average and at that early years didn't understand the importance of the education system.",How were you in school?,Were you a good student?,What are your study habits like?,Did your teachers like you?,Did you work hard in school?,Did you get good grades in school?,Did you get good grades?,how were you in high school?,Did you have a high GPA?,did you do well in school?,,,,,,,,,,,,,,,
Background,,carlosrios,What was your home life like?,"My mother's priority was always so that we were good members of our community, that we behave, that we didn't get in trouble.  It's unfortunate that education wasn't the number one priority. I missed a lot of days from school, I think I missed more than I actually attended.  Our home life, like my mother took care of us. Every Christmas we got our gift, every birthday we got our gift, we ate every day, we had our needs, not our wants again, but we had a good upbringing, something that I try to do my children now.",How was your home life?,What was the environment at your home like?,How was your home?,Did you have a good home life?,What can you say about your home life?,,,,,,,,,,,,,,,,,,,,
Background,Navy,carlosrios,When did you start working with the Navy?,"I started working, I think my first job I started as a, after high school, I started working as a file clerk at a lawyer's office.  Knew I didn't want to do that as a career, and I joined the marine corps about a couple months later and that's when I started supporting the Navy.  But I was a Marine my whole career after that and I was about 18-19.",What year did you join the Navy?,When did you sign up for the military?,When did you begin serving?,When did you sign your Navy contract?,When did you start your Navy career?,when did you enlist?,what do you do in the navy?,what is your Navy job?,,,,,,,,,,,,,,,,,
Background,Navy,carlosrios,Are you currently serving in the military?,"I'm currently serving the military, I retired in 2010, from the marine corps, but I'm still serving in the marines as a logistics lead on marine corps projects.",Are you currently in the Navy?,Are you in the Navy now?,Are you still in the Navy?,Are you still in the military?,Are you in the military now?,Did you leave the Navy?,,,,,,,,,,,,,,,,,,,
Background,Navy,carlosrios,What is your current position?,My current position in my current employment is logistics lead.,What are you currently ranked?,What is your position in the Navy?,Are you high up in the Navy?,What is your position in the military?,Are you a boss in the Navy?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,How do you spend most of your time at work?,"So how do I spend most of my time at work? I normally, when I get to work in the morning, I support the marine corps and I have a lot of customers or end users which we call in the Marine Corps.  Any issues I tend to provide solutions to their current problems and current issues. I have contracted supporting in Okinawa, Hawaii, California and the East Coast so I tend to get do a lot of communication with them ensuring that they're supporting the marines.",How does your typical work day look like?,What takes most of your work time?,Is there anything that takes most of your work time?,How do you divide your work day?,What becomes of your work day?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,Describe the work you do on a typical day?,"Walking you through a typical day for me, I show up at work about 7:30, go to my computer I start reading my emails which normally provide me tasks for that day.  I answer those probably give me priorities in reference to what needs to be taken care of immediately and what can be done throughout the day or if not following days.  So once I build that lists of my current tasks for that day, Ialso have to give myself an opportunity to forecast what I'm going to do the next day.  So that starts my day, once those lists are developed then I start communicating with my customers or the end users out to the marine corps, throughout the country, and at times in what we call Oconus, which is overseas, and I communicate with them ensuring that they're getting the tools, the gear that they need to continue training or providing support as needed.",What is a regular day like?,What is a typical day like in the Navy?,What do you do on a normal day?,What are you daily responsibilities?,Is the work the same every day?,Is every day the same?,tell me about your job in the navy.,what was your job like in the Navy?,What's your day-to-day?,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,How many hours do you work in a typical day or week?,"How many hours do I normally spend on a typical day a week? I try to balance myself, I think it's important to try to balance your quality of life with your work so we're required to do forty hours a week, that's an eight hour day, normally I might spend one or two hours it depends if one of my customers in Okinawa since their hours are shifted to the right, different time zones.  I support a couple extra hours if I have to do direct communication with them but normally forty hours.  Again, you get a good balance of quality of life, I try to always focus on ensuring that they equal up.",What are your hours like?,What are your work hours?,How much do you work while in the Navy?,How many hours do you work?,What does an average day in the navy look like?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What kinds of problems do you deal with?,"What kind of problems I normally deal with at the job? Almost all of my problems have always been because of lack of communication. So what happens is a customer needs something and I have people a place at various locations providing that support and the customer might feel that he's not receiving that support. So, normally I'll get the phone call asking there's an issue or informing me of an issue. I immediately communicate with my person on site and bring the customer and that person together. Again, every issue I've ever had, had to do with a lack of communication.",Can you tell the kind of problems you face at your work?,List all the problems you face,Is there a variety of problems that your work entails?,What kind of challenges do you deal with?,What problems do you solve?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What kinds of decisions do you make in your career on a daily basis?,"Decisions that I make on a daily basis, normally they have to do with contracting, providing government support at a certain location, contracting support at a certain location and helping the customer determine a solution for an issue they might have.",Can you enumerate the kind of decisions that you take on a typical work day?,List the kind of decisions you face every day?,When kind of situations require you to take a call?,What type of decision making does your work entail?,,,,,,,,,,,,,,,,,,,,,
JobSpecific,"Navy, Positive",carlosrios,What are the major benefits of doing this kind of work?,"Major benefit to doing the line of work that I do, a logistics management allows me want to support the customers now that I previously worked with. I still get to visit a lot of those customers that I had built a relationship with over the last thirty years and of course there's a feeling of purpose  to what I do which is important.",What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,What benefits are there to joining the Navy?,Is this work any good?,Is this a good profession?,What do you like about the Navy?,Tell me something you like about the navy.,why do you like your job?,why should I join the Navy?,what is good about going into the Navy?,what are the benefits of being in the navy?,i want to know about the navy,what's your job in the navy like?,,,,,,,,,,,
JobSpecific,"Navy, Negative",carlosrios,What are the major negatives of doing this kind of work?,"The major negatives of doing the job I do, it's very hard to come up with with a negative because I really enjoy what I do. The fact is the challenges that I get when I'm informed of a problem so to get the opportunity to be challenged and come up with a solution for the guys that I'm supporting or the the marines. So, at the end of day I can't find a negative. Again the positive, I get paid to do something I love to do.",What are the cons of serving in the Navy?,Are there negatives to the Navy?,What bad things are there in the Navy?,Why shouldn't I join the Navy?,What can happen in the Navy that is a bad thing?,What is the worst thing about doing your job in the Navy?,tell me what you don't like about the Navy.,Is there anything you don't like about your job?,What do you like least about the Navy?,What did you sacrifice for the Navy?,so you didn't like the Navy?,What did you sacrifice for the military?,,,,,,,,,,,,,
"Challenges, Fit, Lifestyle",Navy,carlosrios,What are the main things that new employees must learn and adjust to?,"The main things that a new employee would have to adjust to is being able to be flexible. I think specially for someone in my line of work or logistics, I provide services, I provide computers and I provide equipment to the marines and at the needs of the marine corps. When they need it I get it there. So, sometimes they need it today so my flexibility or new employees ability to be able to be flexible enough to to ramp up in and get that to our customer or the marines is very important.",What do you have to adjust to when joining?,Is it difficult to adjust to the Navy lifestyle?,How do you adjust to a Navy career?,Is adjustment to the Navy way easy or hard?,What did you have to get used to in the Navy?,Are new skills required to survive in a STEM field in the Navy,Was adjusting to the Navy tough?,Was the first year hard?,,,,,,,,,,,,,,,,,
Travel,Navy,carlosrios,How much travel do you do in a year?,"I normally travel about ten percent of the time in a year. Normally, I take up a week or five days every one or two months. But I can travel more if I had to. Again, communication is important in my field and being able to relate with my customer means being there and being able to talk to them face to face vice over the phone.",How much do you travel while serving?,Does the Navy allow you to travel?,Do you get to see other countries if you join the Navy?,How often do you get to travel in the Navy?,Did you get tired of traveling?,Do you want more travelling or less?,Do active duty people travel more than reserves?,Do Navy personnel complain about travelling?,Can you get out of travelling?,,,,,,,,,,,,,,,,
Lifestyle,Navy,carlosrios,"What lifestyle changes does your work involve?(frequent travel, irregular hours, family difficulties etc)","For me, to be able to adjust to this lifestyle especially for the one that I came from which was the marine corps. A high pace, always on the road, deployments that means going overseas for an extended amount of time. This is a little bit slower pace for me but for the average person coming into this job again the amazing part is the professionalism that you're gonna experience in these positions and especially when you are supporting the war fighter or our marines.",How does the Navy impact your lifestyle?,Does the Navy largely affect the way you live?,Is the Navy lifestyle difficult?,How is the Navy lifestyle different?,How's Navy life different?,What's Navy life like?,,,,,,,,,,,,,,,,,,,
Management,Navy,carlosrios,Who are the most important people in the industry today?,"The most important people in our in our life line a worker are in the industry today. I tend to focus of course to me, my customer is always the most important person. Especially understanding their frame of mind is important in order for me to get that gear to them in order to ensure that I give them the right solution. But in our industry, I tend to focus on lot of the companies that are doing logistics very well UPS, Amazon, even the post office to an extent. Those are important to me to understand. I read a lot of their the books that talk about that industry and if they can do it, they do it right Amazon does it maybe I can learn from them.",Who are the highest Navy officials?,Who is important in the Navy?,Who are your superiors?,Who is the highest ranking in the Navy?,,,,,,,,,,,,,,,,,,,,,
