ID,topics,text,question
clintanderson_A1_1_1,Background,"My name is EMC Clint Anderson, that's Electrician's Mate Clinton Anderson. I was born in Los Angeles, California. I was raised there most of my life and I graduated from high school there. A couple of years after graduating from high school, then I joined the United States Navy. I was an Electrician's Mate for eight years. I served on an aircraft carrier. We went on many deployments. A deployment is when you go to war, you fight. We fought in the Iraq war. I went on three deployments and it was a really great time in my life. I had a lot of fun. At the end of the eight years, I decided that the Navy wasn't quite a career for me. So, I got out of the Navy. I started using the education benefits that we received and I started going to the University of California at Berkeley. I was majoring in computer science and afterwards, I started getting my master's degree from the University of Southern California. I also had a job at the Institute for Creative Technologies. It's been a lot of fun, this whole time. Thanks to the Navy.","Who are you and what do you do?
What do you do?
What is your history?
I want to know everything about you?
Explain your background.
what is a deployment?
Tell me about yourself
Who are you?
what's deployment?"
clintanderson_A2_1_1,Background,"My name is Chief Electrician's Mate Clinton Anderson, that's EMC for Electrician's Mate Chief.","What is your name?
Who are you?
What do people call you?
How are you addressed?
What is your name?
hi
Hello"
clintanderson_A3_1_1,Background,"I was born in 1979. So, right now, I am 37 years old.","What year were you born?
When were you born?
What is your date of birth?
What time were you born?
When was your birth year?
Which year were you born?"
clintanderson_A4_1_1,Background,I'm thirty seven years old.,"How old are you now?
What is your age?
How many years have you been alive?
How many birthdays have you had?
You look old.
Are you my age?
Are you old?
What's your age?"
clintanderson_A5_1_1,Background,My birthday is April 19th 1979.,"When is your birthday?
What date were you born?
In what month were you born?
What's your sign?
Is it your birthday?
When is your date of birth?"
clintanderson_A6_1_1,Background,"I grew up in Los Angeles, California. I was born there. I moved around when I was younger but I eventually graduated from high school in California.","Where did you grow up?
Where did you spend your childhood?
Where are you from?
Where did you go to high school?
Where's your hometown?
Where do you call home?
Were you born here?
Where were you born?
Where did you come from?"
clintanderson_A7_1_1,Background,"So, I have a childhood that's pretty similar to many military people that I meet. When I was young, my parents divorced. My father, he was in the army. So I didn't see him that much. I lived with my mother for a long time. We moved from state to state. I lived in Washington for a while, I lived in Alabama for a while. Eventually, I moved back with my father instead of my mother, in California. So, I have actually seen a lot of America, thanks to their divorce. Eventually, I graduated from high school and after high school, me and my father we didn't really get along so I broke away from him and a couple of years afterwards I realized that I needed some kind of jobs help me with my finances, help me, you know find some kind of direction in life. So, that's when I joined the US Navy Reserve and the US Navy.","Tell me about your childhood.
What was your childhood like?
What was it like for you growing up?
How were you raised?
When you were young, what was your family like?
Were you a good kid?
Were you a bad kid?
What kind of kid were you?
What happened when you were young?
did you get along with your parents?
did your parents encourage you to join the navy?
were your parents okay with you joining the army?"
clintanderson_A8_1_1,Background,"I had a great opportunity to know most of my family throughout my lifetime. My parents were divorced, so that means that I spent sometime with my mother's family, sometime with my father's family, sometime with my father's mother and sometimes with my mother's mother. So, I bounced around from household to household when I was a youth. I didn't really form any strong bonds with anyone but I did get an opportunity to see most of the world so I spent a couple years with my grandmother in Alabama. So, I got to shoot a few guns there and got to climb mountains and do all of that country stuff that, you know, a lot of people come into the Navy with. I just also lived in Michigan and it's kind of an impoverished area, if you have been watching movies and things, you probably know about this but it's developed my character in a lot of ways. Eventually, I finally moved to California and I have to say, out of all the places that I've been, which is all over America, California is the right place to be. It has a temperature that I want, the people and the diversity I want. So, maybe from now on I'll always stay in California.","Tell me about your family.
What is your family like?
What is your relationship with your family?
How well do you get along with your folks?
Who were your parents?
Do you like your parents?
how are your parents?
how is your family?
Are you close with your parents?
Do you like your family?
do you get along with your dad and mom?"
clintanderson_A9_1_1,Background,"In Michigan, it's the place that I stayed had a diverse amount of people but it was mostly crime ridden in some places. I've seen lots of things that you see on movies. For instance, drug use, some violence here and there. I've seen more graphic things like prostitution, homeless shelter and things like that. But those are things that I think maybe turned me into wanting to help my society a little bit more. Those are negative things. These are things that kind of pushed me to want to make the world a better place because I saw them. So, even though Michigan was, the part that I grew up in, Flint, isn't the, you know, ideal city, it is a good place to grow up and develop your character.","Can you tell me more about Michigan?
How was your time spent in Michigan?
What impact did Michigan have on your childhood?
Did you become who you are because of where you grew up?
How is Detroit?
How is Michigan?
What is Michigan like?
what's michigan like?"
clintanderson_A10_1_1,"Background, Education","So, the type of student that I was in college, in high school and in elementary school, it varied. It was kind of like a sine wave. So, when I was in elementary school, I always took tests and they always said that I was like very very high achieving or something like that. I always scored really high on my IQs, so I got the impression that I was a really bright kid. In high school, it kind of dipped down. I was a little bit more independent. I stopped doing my homework. I stopped listening to teachers. I started hanging out with friends a lot more. So, my 4.0s and 3.8s started going down to you know, very very low. That's one of the reason that I didn't go to college right away. I think many people in the nuclear field like I'm in had a very similar story. I'd say more than half the people had that story. They were bright as kids but they kind of somehow lost their way, ended up going to community college and then going to the military or some other situation. So, going through the military actually helped me out a lot because it taught me a lot of self discipline, a lot of reasons to get motivated to study a lot. So, after I finished my active duty Navy career, I went back to college and I was on par. I started doing well with the smarts that I was given.","What kind of student were you?
How were you in school?
Were you a good student?
What are your study habits like?
Did your teachers like you?
Did you work hard in school?
Did you get good grades in school?
Did you get good grades?
how were you in high school?
Did you have a high GPA?
did you do well in school?"
clintanderson_A11_1_1,"Background,Navy","I joined the Navy in 2000, that was right before we had the 9/11 attacks. I was there for eight years and then I joined the US Navy Reserve in 2008.","When did you join the Navy?
What year did you join the Navy?
When did you sign up for the military?
When did you begin serving?
When did you sign your Navy contract?
When did you start your Navy career?
when did you enlist?"
