ID,utterance,situation
clintanderson_U1_1_1,"My name is EMC Clint Anderson. I was born in California and I have lived there most of my life. I graduated from Paramount and a couple of years after I finished high school, I joined the US Navy. I was an Electrician's Mate. I served on an aircraft carrier for eight years and then afterwards, I went to the United States Navy Reserve. During that time I started going to school with some of the abundant benefits that the military reserve has given me and I started working with various companies.",_INTRO_
clintanderson_U2_1_2,Yes,_FEEDBACK_
clintanderson_U3_1_2,"Yes, sir",_FEEDBACK_
clintanderson_U4_1_2,"Yes, ma'am",_FEEDBACK_
clintanderson_U5_1_2,Excuse me?,_FEEDBACK_
clintanderson_U6_1_2,Good morning,_FEEDBACK_
clintanderson_U7_1_2,Good afternoon,_FEEDBACK_
clintanderson_U8_1_2,Good evening,_FEEDBACK_
clintanderson_U9_1_2,Goodnight,_FEEDBACK_
clintanderson_U10_1_2,I may have said this before.,_REPEAT_
clintanderson_U11_1_2,No,_FEEDBACK_
clintanderson_U12_1_2,Maybe,_FEEDBACK_
clintanderson_U13_1_2,Perhaps,_FEEDBACK_
clintanderson_U14_1_2,Of course,_FEEDBACK_
clintanderson_U15_1_2,Always,_FEEDBACK_
clintanderson_U16_1_2,Sometimes,_FEEDBACK_
clintanderson_U17_1_2,Sometimes,_FEEDBACK_
clintanderson_U18_1_2,Never,_FEEDBACK_
clintanderson_U19_1_2,Often,_FEEDBACK_
clintanderson_U20_1_2,I do,_FEEDBACK_
clintanderson_U21_1_2,I don't,_FEEDBACK_
clintanderson_U22_1_2,I have no idea.,_FEEDBACK_
clintanderson_U23_1_2,I don't think so.,_FEEDBACK_
clintanderson_U24_1_2,I have no idea.,_FEEDBACK_
clintanderson_U25_2_2,I hope so.,_FEEDBACK_
clintanderson_U26_2_2,I'm sorry.,_FEEDBACK_
clintanderson_U27_2_2,I'm sorry to hear that.,_FEEDBACK_
clintanderson_U28_2_2,Thank you.,_FEEDBACK_
clintanderson_U29_2_2,I understand that.,_FEEDBACK_
clintanderson_U30_2_2,I went through something similar.,_FEEDBACK_
clintanderson_U31_2_2,I am not sure.,_FEEDBACK_
clintanderson_U32_2_2,I can't hear you.,_FEEDBACK_
clintanderson_U33_2_2,I don't understand.,_FEEDBACK_
clintanderson_U34_2_2,Can you repeat that?,_FEEDBACK_
clintanderson_U35_2_2,I don't have an answer for that.,_FEEDBACK_
clintanderson_U36_2_2,It would help if you could keep the questions short and simple.,_FEEDBACK_
clintanderson_U37_2_2,Can you rephrase the question?,_FEEDBACK_
clintanderson_U38_2_2,I can not predict the future.,_FEEDBACK_
clintanderson_U39_2_2,I do not want to speculate about the future.,_FEEDBACK_
clintanderson_U40_2_2,I don't know what that is.,_FEEDBACK_
clintanderson_U41_2_2,I don't know who that is.,_FEEDBACK_
clintanderson_U42_2_2,I am not going to talk about that.,_FEEDBACK_
clintanderson_U43_2_2,I am not here to talk about that.,_FEEDBACK_
clintanderson_U44_5_1,I don't have enough information to talk about that.,_FEEDBACK_
clintanderson_U45_5_1,I do not have an answer for that.,_FEEDBACK_
clintanderson_U46_5_1,"That is a great question, but unfortunately I never recorded an answer to that.",_OFF_TOPIC_
clintanderson_U47_5_1,That is a great question. I wish I'd thought of that.,_OFF_TOPIC_
clintanderson_U48_5_1,"That is an interesting question, but I am here to talk about STEM careers in the Navy. ",_OFF_TOPIC_
