Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
Background,,dandavis,Who are you and what do you do?,"Hello I'm Dan Davis I've worked for universities to last thirty years doing basic research in high performance computing of work for Cal Tech, University of Southern California and the University of Hawaii",Tell me your life story.,What is your history?,I want to know everything about you?,Explain your background.,How would you describe yourself?,Tell me about yourself,I want to know more about you,,,,,,,,,,,,,,,,,,
Background,,dandavis,What is your name?,My name is Dan Davis.,Who are you?,What do people call you?,How are you addressed?,What’s your last name Dan?,Can I call you Dan?,How would you like to be addressed?,,,,,,,,,,,,,,,,,,,
Background,,dandavis,What year were you born?,I was born in 1944.,When were you born?,What is your date of birth?,What time were you born?,When was your birth year?,Which year were you born?,Where you born in the 70s?,,,,,,,,,,,,,,,,,,,
Background,,dandavis,How old are you now?,I'm seventy three years old,What is your age?,How many years have you been alive?,How many birthdays have you had?,You look old.,Are you my age?,Are you old?,What's your age?,How old are you?,,,,,,,,,,,,,,,,,
Background,,dandavis,When is your birthday?,Eighteenth of April,What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,When were you born?,What can you tell me about your birth date?,,,,,,,,,,,,,,,,,,
Background,,dandavis,Where did you grow up?,"I was born in Carbondale, Illinois but they spent most of my growing up years in Colorado Springs, Colorado",Where did you spend your childhood?,Where are you from?,Where did you go to high school?,Where's your hometown?,Where do you call home?,Were you born here?,Where were you born?,Where did you come from?,,,,,,,,,,,,,,,,,
Background,,dandavis,Tell me about your childhood.,"I grew up in a basic middle class households where my mother stayed home when my father works. He was a CPA and an attorney for the entire time he was working. I started out in Carbondale Illinois which is the home of Southern Illinois University, a college town but moved to Colorado springs when I was in the sixth grade where I went to a very small high school graduating with the class of seventy eight and then went off to college from there",What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,Were you a bad kid?,What kind of kid were you?,What happened when you were young?,How was your house when you were young?,,,,,,,,,,,,,,,,
Background,,dandavis,Tell me about your family growing up.,"I think my favorite life would best be described as kind of a Norman Rockwell existence. I had three brothers two older than I was and then one younger and we had if basic middle class household. Both my parents were college educated although they were both the first people and their families who had been college educated, and the family was oriented toward education and knowledge and I remember spirited intellectual discussions at the dinner table for my entire life. I wasn't particularly athletic but I spent most my high school off time working at a drug store before I went off to college when I turned eighteen",What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,how are your parents?,how is your family?,Are you close with your parents?,Do you like your family?,do you get along with your dad and mom?,,,,,,,,,,,,,,,
Background,,dandavis,Do you have your own family?,I am married and have three daughters and the middle daughter has three grandchildren and I'm expecting another grandchild this fall. So I have a grandson and three granddaughters or two in six ninths granddaughters actually.,Do you have a family?,tell me about your own family?,do you have children?,do you have a wife?,tell me about your children,how is your family?,Are you married?,do you have kids?,,,,,,,,,,,,,,,,,
Background,,dandavis,Where in the world have you lived?,Actually I've lived quite a few places due to the military but I basically grew up in Colorado springs and then when I got in the military that gave me a lot more varied places to live. I work for a while in Chicago before I joined the service but during the service I have been really all around the world in a number of places,where all have you lived?,where all have you travelled?,did you travel a lot?,how many places have you visited?,Tell me about some of the places you have been on a vacation?,Do you go on vacation?,What all places have you visited?,Are you fond of travel?,,,,,,,,,,,,,,,,,
Background,,dandavis,What kind of student were you?,"I was a terrible student. My high school's early grades were mediocre, when I talk to my high school counselor when it's time to go to college he said you have a very good test scores Mr. Davis but you have no achievement. You will never amount to anything and I don't know what to do with you. When I got to the university of Colorado my first two years were a disaster which occasion my leaving the university, working for a bit, and then enlisting in the service during the Vietnam War",How were you in school?,Were you a good student?,What are your study habits like?,Did your teachers like you?,Did you work hard in school?,Did you get good grades in school?,Did you get good grades?,how were you in high school?,Did you have a high GPA?,did you do well in school?,,,,,,,,,,,,,,,
Background,Navy,dandavis,When did you join the Navy?,"That's a rather complex issue actually I joined the navy after I got of the marine corps, after I had left college and worked for a couple of years I went and listed the marine corps spent four years on active duty, then finished up my six year obligation with two years of inactive reserve and then at that time I joined the Navy. So that would have been at that time 1973 when I enlisted in the navy and then I served in the navy for two years is in the list of man and was commissioned in 1975 and then finally retired in about 2003",What year did you join the Navy?,When did you sign up for the military?,When did you begin serving?,When did you sign your Navy contract?,When did you start your Navy career?,when did you enlist?,When did your journey with the Navy start?,,,,,,,,,,,,,,,,,,
Background,Navy,dandavis,Are you currently serving in the military?,I am retired from the military and no longer serve active,Are you currently in the Navy?,Are you in the Navy now?,Are you still in the Navy?,Are you still in the military?,Are you in the military now?,Did you leave the Navy?,what do you do in the navy?,what is your Navy job?,,,,,,,,,,,,,,,,,
Background,Navy,dandavis,What is your current rank and duty position now?,My current rank is commander United States Navy retired,What are you currently ranked?,What is your position in the Navy?,Are you high up in the Navy?,What is your position in the military?,Are you a boss in the Navy?,What is your post in the Navy?,Are you a commander in the military?,Do you have a senior position in the armed forces?,,,,,,,,,,,,,,,,,
Background,,dandavis,What was your duty position while in the military?,"During my years in the military I started out as a private in the marine corps and finally retired as a commander in the Navy during all that time I was in cryptology. I started out as a Morse code intercept operator and then was sent to language school to learn Vietnamese, did active duty is that but when I was in the reserve duty, most my reserve duty was done as an officer where I was setting up cryptologic training programs and cryptologic activities for the enlisted people. In retiring as a commander I had a unit of about ninety people in Denver, Colorado they're all cryptologists, largely from the navy but a few marines and one Air Force officer",what was your duty in the military?,what work did you do in the military?,what were your tasks in the military?,what did you have to do in the military?,What job function did you have in the military?,What do you do?,What did you do in Vietnam?,What roles did you have in your job at the Navy?,,,,,,,,,,,,,,,,,
Jargon,,dandavis,What does your ranking stand for?,"I am the commander which is one of the senior officers below admiral. The three stripes on my shoulder boards indicate that I am a commander which is called O-5, which is the pay grade and the star indicates that I am a line officer that means that I am expected to participate in actual combat kinds of duty as opposed to a staff officer like a chaplain or a doctor or a jag officer a lawyer, so I am I am unrestricted line which means I could command the ship if called upon to do so",what is your current rank?,where are you currently ranked?,what is your position in the military?,are you a boss in the military?,are you highly ranked in the military?,How powerful are you?,What is your rank?,Do you have a senior post in the Navy?,,,,,,,,,,,,,,,,,
