ID,topics,text,question
s001p004s00000714e00001228,Background,Hi. My name is Captain Dare's U S Navy retired.,"What is your name?
How are you addressed?
What do people call you?
What is your name?
Who are you?"
s001p004s00002721e00003321,Background,"I was born in 1961 in Brooklyn, New York.","What year were you born?
What is your date of birth?
What time were you born?
When was your birth year?
When were you born?
Which year were you born?"
s001p004s00003927e00004500,Background,I have 58 years old.,"How old are you now?
Are you my age?
Are you old?
How many birthdays have you had?
How many years have you been alive?
What is your age?
What's your age?
You look old."
s001p004s00004925e00005425,Background,"I was born and raised in Brooklyn, New York.","Where did you grow up?
Were you born here?
Where are you from?
Where did you go to high school?
Where did you spend your childhood?
Where do you call home?
Where were you born?
Where's your hometown?"
s001p004s00010109e00012528,Background,"I had a great childhood. I was. My mother picked the house that we were. I grew up in I one house that I stated and was raised in and then in after graduating from high school, went to a year of college and then I went to the U S. Naval Academy in 1981.","Tell me about your childhood.
How were you raised?
Were you a bad kid?
Were you a good kid?
What happened when you were young?
What kind of kid were you?
What was it like for you growing up?
What was your childhood like?
When you were young, what was your family like?
did you get along with your parents?
did your parents encourage you to join the navy?
were your parents okay with you joining the army?"
s001p004s00013808e00015617,Background,"in the third grade, I decided I wanted to go to the U. S. Naval Academy. My eldest brother, I was in the class of 1975. The Naval Academy and I followed him in in the class of 1984.","When you were a kid, what did you want to be when you grew up?
Do you have other passions besides STEM?
Why don't you just do music as a hobby then?
are you artistic?
did you dream of doing a job like this?
did you have dreams of being something else?
do you like art?
do you like the arts?
do you remember what you used to think you wanted to do as an adult?
why didn't you pursue music?"
s001p004s00020728e00023518,"Background,Education","It was very good student. I had a bunch of advanced placement courses in high school. I had a plus average. Uh, I have to admit that I had to take the S A T and a C tes multiple times to qualify for the U. S. Naval Academy admission standards at that time.","What kind of student were you?
Did you get good grades in school?
Did you get good grades?
Did you have a high GPA?
Did you work hard in school?
Did your teachers like you?
How were you in school?
Were you a good student?
What are your study habits like?
did you do well in school?
how were you in high school?"
s001p004s00024617e00025709,Biography,have a nice childhood broke with dog. No cats. I'm a dog person. I now have two dogs. They're both sleeping at my feet right now.,What was your home life like?
s001p004s00050402e00052926,,"I decided to join the to go to the U. S. Naval Academy in second grade. My eldest brother enjoyed the Babel battery in 1971 when I was 10 years old and I was 11 roughly, I decided I would like to follow him into the baby and go to the U. S. Naval captain.",When did you deceide to join the Navy?
s001p004s00054011e00061112,Background,"I am a retired Navy captain. At this point, I've had 18 years of active duty, followed by 12 years in the reserves and for a combined total of 30 years service to our country and at 30 years, naval officers most retired. With the exception, I will say there is one exception. Admirals can remain on active duty past 30 years.","Are you currently serving in the military?
Are you currently in the Navy?
Are you in the Navy now?
Are you in the military now?
Are you still in the Navy?
Are you still in the military?
Did you leave the Navy?
what do you do in the navy?"
s001p004s00062100e00071911,Background,"So I I'm retired now. I in my active duty and reserve years with the Navy, I had served as a if you've engineer on to service vessels of fast frigate and a cruiser USS Ticonderoga. I also served on an L P. D. Amphibious ship Long Beach, California. And I also served as an anti submarine warfare A S W warfare officer on a sperm inside of you. You speed your pan. Those were all active duty tours, and I had multiple command tours as a reserve officer, and I was recalled once to serve as the acting dean and the military associate dean at the Naval Postgraduate School. Moderate. Hello.",What is your current position now?
s001p004s00074302e00091814,,"so on board naval ships and submarines. Also, the commanding officer is at the top of the organizational command. Below him is an executive officer. Well, the executive officer are multiple department heads. One of the department heads is a chief engineer. The chief engineer is responsible for all propulsion heating, liked water, which everything that it takes to make a ship or suffering go for because maybe ships we go forward. Navy ships, Navy aircraft, go for we fight forward, not designed to go in reverse, decide to go forward into the line of battle. So, as a chief engineer, by responsibility, I had 150 men assigned to bay on the USS Ticonderoga had an operational annual operational budget of about 30 million. And all told on the equipment infrastructure, if you will, I'd say that ship was worth that. I was responsible for about $750 million. So that's what we do. Is chief engineer is keep the ship running in on, uh, locally, we I would say I was the person the guy responsible for getting the ship from point A to point B. That's what I did on board the ship",What is a Chief Engineering Officer?
s001p005s00000828e00021209,JobSpecific,"the first major leadership gold. Upon graduating from the Naval Academy, I attended division officer school in car Narrow California. And from there I went to my first ship, Mrs Ogden, out of Wall Beach for you. That four is now goes down. But at the time in the eighties, I was very busy Port and I actually flew to Philippines. So meet my ship. I was assigned at Engineering Army as a main machinery officer. And so I spent the next 90 days deployed on the ship wall. Fine as it insuring all surgical watch. No. Isn't Yao and then leading? I had a department signs. I'm sorry. Division assigned to me off roughly 80 men Way were a single sex ship. That one warrant merged elephant. Now, it was just the way that that ship was filled out and fitted out with personnel. Um and so I had the crew on my machine. Is Bates assigned between two different famous sherry planning a one namer. She replied, over too. So a lot of time down there, qualifying. And and then we were, as I said, deployed so from his oh, beans and civic. I went, uh, with the ship award and got to go to Singapore, Hong Kong, Korea, Hawaii and back to Long Beach, so a lot of steaming during that first seat as an engineering officer.",What was your first major leadership role?
s001p005s00023218e00032621,JobSpecific,"so at work. I spent most of my time. That's when I was assigned to my ships on CD. I spent most of my time on the ship on your way or with the ship. Peterside. I spent most of my time walking the decks way. Call that management by walking around in the w ay and making sure that the division apartments to crew we're doing their jobs and the equipment with maintained because the thing about it maybe ship it. He's a lot of care and maintenance, and the only way to do that is you can expect what you inspect.",How do you spend most of your time at work?
s001p005s00040808e00050128,JobSpecific,"a typical day for May out, it seems to be getting up. Morning breakfast, probably going to morning quarters, getting the word of the day for you have a mission. I would then have a watch to stand in the engineering spaces or house. I'll bridge our combat information center, standing watch four hours or so, and then going down and doing my administrative work and walking around my space is, uh, lunch rolling to dinner and then have another watch. I stand the watch and then of, but mainly today was to watches and watches be off before he watches.",Describe the work you did on a typical day.
s001p005s00051825e00062004,"JobSpecific,Military","This is the physical environment in which I worked, varied and see the enable ship shook our environment. Aria in the engineering spaces was was on the eventual ships. Very hot way. Had stress programs, horse. But is there any spaces? Were man 25 hours a day, of course. Topside. Spaces of bridge war. The combat mission set in the heart of the ship. They were at condition spaces, in fact, avarice. What? Don't worry. You know you wear sweaters inside the ship. Just stay warm because you have to keep yours. Oh, um, physically, the ship's a ship's environment under way, is very demanding. You have to be in shape. Physically fit. Well, that's one of the reasons we have. Ah, his memories.","Describe the physical environments in which you've worked.
How are the settings of your work environment?
What are the usual surroundings for your work?
What environments have you worked in?
What is the environment like for your work?"
s001p005s00063713e00073928,,"So right now, the sweater that I'm wearing is submarine community sweater. But I wars the chief engineer on my two wars from World War Two vintage design sweater that was was born on ship. Um, and the hat that I'm wearing right now, this hat is from my first command. Um, if you're a civilian and are familiar with the designators here, scrambled eggs as they're called on the power of a cab row with cap, it's got legs. Designate a commander or captain, um, admirals flied ranks would have double, uh, this scrambled eggs. But this is my first commanding officer toward and or commanding officers will keep their first ball cap for their committee. Also tours.",Can you tell me about the sweater and hat your are wearing?
s001p005s00080520e00093122,JobSpecific,"How many hours a week did I work? Um, there's a difference, of course, Between working at sea on Ah, see, tour and working assure on a short for, um at sea. You're basically working 24 7365 You're working every day. How many day? How many hours a day are up and you doing your job? Rebel Lee is at, uh 0 600 and taps in the evening is 2200. And in between 06 and 22. You run around a lot doing your child job nation, and it's very satisfying doing at Chute on Shorty a little bit. Not as rigorous, not as long on our it can be depending upon what the nation is doing at the time and what your job is. Shorter's, um readily stills. 0 600 And every day at 0 800 is colors. So from 08 to 1700 5 p.m. In the afternoon on shore duty, I was usually knock off for short. That was that was good to go. Go home and start over",How many hours do you work in a typical week?
s001p005s00124728e00160319,"First Steps,JobSpecific","So the decisions that I made on a daily basis at CES on my my four different ships, you know, pertains to what was the vision of the ship. So, for instance, I had to make sure that as an engineering officer, A ll both engines online, ready to go. And if we didn't have any interfering parts, I had three gas turbines that provided all the electrical power for their ships along the lights. All the power for the computer. Well, it's one of the equipment If one of the generators went down now I'm in a casualty responsible, and my decisions would revolve around what it would take to keep that generator. That electrical mood morning. You would think that's an easy decision. But it, Zelig, when you're driving your car, you've got to go from Washington D c down to, uh, no, fool. Do you have another dance in your car? Can you get the car from point A to point B? Same thing with the ship. You have to know, What is it gonna take to keep that ship running? Well, in this case, you don't have a gas station. So the decisions that I have to make every day are to make sure that I am so sustained. And I have enough equipment. Resource is personnel. Keep that shit running shipshape. So speak on time. Um, and underway under budget, because again, departments divisions, you all have budgets that you have to maintain. So do we have enough fuel tomorrow? And I'm gonna be taking on fuel from the Shasta. Okay. What is that gonna take? That means I need to make sure that my fueling alignment to receive fuel. That was a personal thing, That responsibility for the chief engineer. I had to personally verify available line so that when we took fuel from another ship keep us under way, doing our mission for the nation. That was my personal responsibility. My job was to make sure that every one of those valves was a line. And I had a dedicated checklist to do that. So there's no one. Where is my checklist decision over to Can I get and see every one of those vowels Inspect. Expect what you inspect. So I have to run around and that that it's things like that. Evidently, evolution doesn't sound like much, but when you're the person responsible for taking on fuel to make sure that we don't spill any fuel when we're taking on fuel, that's a very you know. That's a very heavy responsibility and requires a lot of fought dedic dedication, and you've got to do it.",What kinds of decisions do you make in your career on a daily basis?
s001p005s00162102e00185321,"First Steps,JobSpecific","So what kind of problems did would you expect? Division? Also department head to deal with As an engineering officer, I can tell you that, um, the equipment maintenance that's required we had the PMS the plant maintenance system to make sure that all of the way we had was maintaining that 100% of the vote. Well, it's hard to do is these shifts get over okay, and all ships get old. That's that's the point. You have to do a lot of care and feeding. Yes, if you you don't want to drive your car from the Pentagon downtown. Awful. That's what's that driving. But if you're gonna drive your car from the Pentagon, San Diego, that's a lot of maintenance. That's a lot of fuel. Meth. Take care of that car. You have to take care of your ship. You have to walk around and see phase, and you can't take things for granted. Now one of the nice things is they help you. They give you a lot of maintenance manuals. And as the engineering officer, lead damage control officer. You have called damage control plates for the ship so you can look at things you can look at What is the expected output for the evaporator Sze in my time from or to my time? We had distillers on boil the water you boil seawater and basically make potable water. Nowadays we have what's called Ouro Reverse osmosis two stars. So we take water from sea water running through the filters toilet. Often we get that. So a decision I have to make every days. Do I have enough? Uh, Stillings typically aboard my providing enough water for the crew. Do I have enough water for coffee and drinking? You did, Havel that, um is the U. S. Navy itself on on having that war and not being on what's called war in hours. You don't want to be a water hours. That's not good. So the U. S Navy Prize itself chief engineer's pride themselves on having ships that are 100% available, percent maintenance and 100% of drinking water of help",What kinds of problems do you deal with?
s001p005s00191301e00212327,"First Steps,JobSpecific","So, as a division officer, you're going to be out at sea on your ship. And this would apply also two aviators when they do with disassociated see tours or the submariners when they come topside, when they're trying to qualify for there. Uh, Carrie cvb g the carrier battle groups tours. You have to do a tour of the ship, one of things about life, and see when the carrier goes out your signs to carrier battle group, you Miss Navy Prize itself on under waiver punishments on one of the things you have to develop is your seaman's eye to make sure that you could bring your ship alongside. I did the carrier or the replenishment ship. And that's the one thing that ship drivers surface warfare officers pride themselves on is learning how to drive that ship and keep that ship alongside that punishment because you don't want to crash into or play bumper cars. That is not good at all. So or just, uh, underwear your punishment I had I was in the Bering Sea's that's north of Alaska. First ship. We took it. We went up the West Coast. What through the Bering Sea's into the illusions, and we did it underway replenishment for eight hours. And I had the con for about six of those eight hours that's developing your seaman's. I. That's the kind of thing that you it is very hard to do. But once completed, once you have that a everyone knows you're the you're the guy. You're the gal that could drive that shit. Well, the guy you're the gal, go out and keep the ship out of harm's away. That's very sensible.",What is a story that really shows what it is like working in your job?
