Situation,Mentor,Utterance/Prompt
_BIO_LONG_,hammen-eric-cdr,"My name is Eric Hammond. Um, currently a commander, Chaplain, station, Open up. Not working for a two star general, But my journey really began in 1992 when I enlisted from a small town in Wisconsin and attended boot camp in San Diego. And from there I was Ah, radioman. My first duty stations included commands such as LST Fairfax County, which is no longer around. I went to the U. S s Kidd, which is also decommissioned. From there, I took a few different communication billets. One took me to Roosevelt roads. Puerto Rico is no longer a Navy base. Also, around 2004 I felt a call into the ministry, and my enlisted career took me all way up to E six. And then I went over and commissioned as a chaplain candidate and finished my degrees and my graduate degree and became a chaplain. Tours is a chaplain. I started off going to Afghanistan with Second Marine Aircraft Wing, and immediately after that, I took a billet and deployed with ah seal team back to Afghanistan to very difficult and kinetic tours, where I learned a lot from there. I became an instructor for chaplains, and I was able to teach new chaplains and how to minister within the military. From there, it took me to, ah, ship USS San Antonio lpd 17 and finally brought me to the Pentagon, where I'm currently at now. My family has always followed me. I've been married for 25 years. I have four Children from the ages of 24 to 15 and everywhere I've gone has been a challenge. But it's been an opportunity for them to grow and learn more about the Navy and how we support."
_INTRO_,hammen-eric-cdr,"my name's commander, Eric Hamon, Um, chaplain serving a top nav staff up at the Pentagon. My journey really started in 1992 as an enlisted sailor, where I made it up to Petty Officer First Class and around 2004 I felt a call to the ministry, and after completing both of my degrees, I became a chaplain. There I served on different staffs, one with Second Marine Aircraft Wing, where I earned my warfare pin, and it served a very kinetic tour there in Afghanistan, followed by a second tour with Naval Special Warfare Group two. And when the seal teams were, we also had a lot of difficulty in country of Afghanistan. From there I became an instructor and ultimately on the USS San Antonio as a department head. Now I currently served on the staff under a two star. I do have a wife of 25 years and four Children."
_FEEDBACK_,hammen-eric-cdr,yes.
_FEEDBACK_,hammen-eric-cdr,"Yes, sir."
_FEEDBACK_,hammen-eric-cdr,"Yes, ma'am."
_OFF_TOPIC_,hammen-eric-cdr,excuse me.
_PROMPT_,hammen-eric-cdr,How are you?
_PROMPT_,hammen-eric-cdr,Good morning.
_PROMPT_,hammen-eric-cdr,good afternoon.
_PROMPT_,hammen-eric-cdr,good evening.
_PROMPT_,hammen-eric-cdr,good night.
_REPEAT_,hammen-eric-cdr,I may have said this before.
_FEEDBACK_,hammen-eric-cdr,no.
_FEEDBACK_,hammen-eric-cdr,maybe.
_FEEDBACK_,hammen-eric-cdr,perhaps.
_FEEDBACK_,hammen-eric-cdr,always.
_FEEDBACK_,hammen-eric-cdr,sometimes.
_FEEDBACK_,hammen-eric-cdr,never
