ID,utterance,situation
s001p001s00000627e00015530,"My name is Eric Hammond. Um, currently a commander, Chaplain, station, Open up. Not working for a two star general, But my journey really began in 1992 when I enlisted from a small town in Wisconsin and attended boot camp in San Diego. And from there I was Ah, radioman. My first duty stations included commands such as LST Fairfax County, which is no longer around. I went to the U. S s Kidd, which is also decommissioned. From there, I took a few different communication billets. One took me to Roosevelt roads. Puerto Rico is no longer a Navy base. Also, around 2004 I felt a call into the ministry, and my enlisted career took me all way up to E six. And then I went over and commissioned as a chaplain candidate and finished my degrees and my graduate degree and became a chaplain. Tours is a chaplain. I started off going to Afghanistan with Second Marine Aircraft Wing, and immediately after that, I took a billet and deployed with ah seal team back to Afghanistan to very difficult and kinetic tours, where I learned a lot from there. I became an instructor for chaplains, and I was able to teach new chaplains and how to minister within the military. From there, it took me to, ah, ship USS San Antonio lpd 17 and finally brought me to the Pentagon, where I'm currently at now. My family has always followed me. I've been married for 25 years. I have four Children from the ages of 24 to 15 and everywhere I've gone has been a challenge. But it's been an opportunity for them to grow and learn more about the Navy and how we support.",_BIO_LONG_
s001p002s00000303e00005537,"my name's commander, Eric Hamon, Um, chaplain serving a top nav staff up at the Pentagon. My journey really started in 1992 as an enlisted sailor, where I made it up to Petty Officer First Class and around 2004 I felt a call to the ministry, and after completing both of my degrees, I became a chaplain. There I served on different staffs, one with Second Marine Aircraft Wing, where I earned my warfare pin, and it served a very kinetic tour there in Afghanistan, followed by a second tour with Naval Special Warfare Group two. And when the seal teams were, we also had a lot of difficulty in country of Afghanistan. From there I became an instructor and ultimately on the USS San Antonio as a department head. Now I currently served on the staff under a two star. I do have a wife of 25 years and four Children.",_INTRO_
s001p004s00000617e00013617,,_IDLE_
s001p007s00001473e00001587,yes.,_FEEDBACK_
s001p007s00003103e00003280,"Yes, sir.",_FEEDBACK_
s001p007s00003747e00003930,"Yes, ma'am.",_FEEDBACK_
s001p007s00004460e00004580,excuse me.,_OFF_TOPIC_
s001p007s00005017e00005210,How are you?,_PROMPT_
s001p007s00005600e00005823,Good morning.,_PROMPT_
s001p007s00010227e00010417,good afternoon.,_PROMPT_
s001p007s00010897e00011040,good evening.,_PROMPT_
s001p007s00011437e00011550,good night.,_PROMPT_
s001p007s00012170e00012417,I may have said this before.,_REPEAT_
s001p007s00012920e00013073,no.,_FEEDBACK_
s001p007s00013617e00013753,maybe.,_FEEDBACK_
s001p007s00014330e00014480,perhaps.,_FEEDBACK_
s001p007s00014973e00015156,always.,_FEEDBACK_
s001p007s00015673e00015850,sometimes.,_FEEDBACK_
s001p007s00020440e00020637,never,_FEEDBACK_
s001p007s00021120e00021280,often.,_FEEDBACK_
s001p007s00021747e00021877,I dio.,_FEEDBACK_
s001p007s00022256e00022380,I don't.,_FEEDBACK_
s001p007s00022837e00023013,I have no idea.,_OFF_TOPIC_
s001p007s00023410e00023547,I don't think so.,_FEEDBACK_
s001p007s00024180e00024447,here is something that you should really know.,_PROMPT_
s001p007s00025150e00025550,"That's a good question, but I want to make sure to tell you something.",_OFF_TOPIC_
s001p012s00000487e00000623,Hello.,_PROMPT_
s001p012s00001040e00001197,it's nice to meet you.,_FEEDBACK_
s001p012s00001823e00002093,I don't really have an opinion on that.,_OFF_TOPIC_
s001p012s00002580e00002750,I hope so.,_FEEDBACK_
s001p012s00003140e00003307,I'm sorry.,_FEEDBACK_
s001p012s00003867e00004056,I'm sorry to hear that.,_FEEDBACK_
s001p012s00004580e00004863,I see you didn't ask anything there.,_PROMPT_
s001p012s00005290e00005650,You gotta ask me something to get a response.,_PROMPT_
s001p012s00005993e00010207,Thank you.,_FEEDBACK_
