ID,topics,text,question
s001p003s00000413e00000805,Background,"Jeremy D. Thomas, but everyone calls me J. D.","What is your name?
How are you addressed?
What do people call you?
What is your name?
Who are you?"
s001p003s00001224e00001501,Background,I was born in 1986.,"What year were you born?
What is your date of birth?
What time were you born?
When was your birth year?
When were you born?
Which year were you born?"
s001p003s00001723e00001927,Background,hold it. I'm 32 years.,"How old are you now?
Are you my age?
Are you old?
How many birthdays have you had?
How many years have you been alive?
What is your age?
What's your age?
You look old."
s001p003s00002417e00002908,Background,I was raised in a small town called Helps above Georgia.,"Where did you grow up?
Were you born here?
Where are you from?
Where did you go to high school?
Where did you spend your childhood?
Where do you call home?
Where were you born?
Where's your hometown?"
s001p003s00003319e00010006,Background,"out. I was raised by my two parents of John and Janet, and I'm the second of three boys. I consider myself a part of an all American family. We all played football. We ate dinner every night together and my mom always cooked. My dad was a factory worker, and my mom's a nurse, so just kind of the all American key it from the rural South.","Tell me about your childhood.
How were you raised?
Were you a bad kid?
Were you a good kid?
What happened when you were young?
What kind of kid were you?
What was it like for you growing up?
What was your childhood like?
When you were young, what was your family like?
did you get along with your parents?
did your parents encourage you to join the navy?
were your parents okay with you joining the army?"
s001p003s00011706e00015723,Background,"all right. My parents, John and Janet were high school sweethearts, so they've been together for about 40 years now. I've got two brothers from the middle on the middle Son. My older brother, Marcus. He's actually in the Navy. He was recently promoted to a commander. He's in the supply corps. My younger brother, Michael. He's, ah, a field engineer at a nuclear plant, and my brother's married. My older brother, Marcus, is married, his wife, Ashley, and they have two Children. One expected, expecting one. And they have one now. Marlee. She's should be to neck.","Tell me about your family growing up.
Do you like your parents?
How well do you get along with your folks?
What is your family like?
What is your relationship with your family?
Who were your parents?
how are your parents?
how is your family?"
s001p003s00020619e00030207,Background,"when I was a kid of there was, like, a just just want to be something that impacted someone in a positive way. Of course, you know, being from the South, you the big thing is playing football. So there was always important to me toe, you know, impress my family and friends by being a star athlete. So I wanted to be ah, linebacker for the Atlanta Falcons or the Ravens emulated Ray Lewis a lot. Um, outside of that, I just kind of want to be a country key, you know, enjoy working on cars and fishing and stuff like that. So whatever I could do that I enjoy helping people. I was gonna make me some money and doing it to take care of my family. You know, just that was happy with that. As long as I got to go home to my home at the end of the day and, you know, work on cars and go fishing with my family. That was about it.","When you were a kid, what did you want to be when you grew up?
Do you have other passions besides STEM?
Why don't you just do music as a hobby then?
are you artistic?
did you dream of doing a job like this?
did you have dreams of being something else?
do you like art?
do you like the arts?
do you remember what you used to think you wanted to do as an adult?
why didn't you pursue music?"
s001p003s00031327e00042817,"Background,Education","where you, um ao In great school, I would probably say I was Maur studios. I was always into the books. I love reading. I love writing love, math and science and just enjoyed learning as I got older. Uh, the more I got into sports and the more I got into girls unless I focused on school. School came kind of easy to me in high school, so I can't remember too often like taking home a book because it came so natural to me. You know, I think my parents that helped me develop that foundation of, like being a quick learner and high school. I didn't have to study so much. College was kind of the same. I kind of felt, you know, fell in hard with the women and sports and less on studies. So I really didn't focus my year college until my senior year, which I was challenged by my mother. So outside of that, up until now, you know, it's kind of it's kind of taken a turn to be more focused as a student toe. Apply the things that I learned in school, so that's kind of how I would describe myself as a student","What kind of student were you?
Did you get good grades in school?
Did you get good grades?
Did you have a high GPA?
Did you work hard in school?
Did your teachers like you?
How were you in school?
Were you a good student?
What are your study habits like?
did you do well in school?
how were you in high school?"
s001p003s00044005e00054513,Biography,"home. Life was amazing. Of course, like any any family, my family went through some rough patches. You know, we had some deaths in the family that caused, like, a huge ripple effect throughout, but at the same time, we were family. So, you know, we're stuck together and just kind of rode the wave out. But my childhood was awesome. My adolescence period was awesome. My adult life was awesome. Every trial and tribulation that you go through, you just kind of look at it as a learning experience and how to get better. Better. So I have nothing but great memories and, you know, positive things to say about the people that I grew up around and the people that, you know, I had the experience.",What was your home life like?
s001p003s00080610e00083600,Background,our store working with the navy in two thousand nine after I graduated from Georgia southern I applied to also can screw OCS about three times over the course of the year and a half and it didn't work out was turned down these time so I remember being you know fed up with the process so and I'm very stubborn so I didn't I wouldn't take no for an answer so I listed as a non Disney their men and two thousand eleven and I've been running with the navy ever since ,When did you start working with the Navy?
s001p003s00090803e00091228,Background,yes I am currently active duty as a lieutenant in the United States ,"Are you currently serving in the military?
Are you currently in the Navy?
Are you in the Navy now?
Are you in the military now?
Are you still in the Navy?
Are you still in the military?
Did you leave the Navy?
what do you do in the navy?"
s001p003s00100527e00101009,Background,I'm currently a student at the naval postgraduate school ,What is your current position now?
s001p003s00105628e00120202,,so the a repair officer on board DD Jeez is typically a first tore division officer role in which you serve under the damage control the system for the day a damage control division which is the our division of so you assist the DC a with the basically the repair of certain things around the ship so you're responsible for the damage control equipment which includes the SCV ETS the repair lockers you also have under you the whole takes which are responsible for you know the toilets showers the sinks the vacuum systems which you know run run the toilet so you also have the like some of the welders that you know that run throughout the ship so a lot of things that that you don't think about your daily activities that break you know you'll call the repair division and will come in you know fix things ,What is a repair officer?
s001p004s00011804e00013228,,"I have two brothers. My oldest brother, Marcus. He's a commander in the United States Navy. A supply officer. My younger brother, Michael. He's a field engineer for a nuclear plant back home in Georgia.",What do your brothers do?
s001p004s00022420e00025321,,"football. So during my playing time as a football player, I was a linebacker, defensive in pulling guard and a fullback also play special teams. We had a small, um, high school, and so you never came off to feel if you had any form of athleticism. College jobs. Actually, I have to make the practice squad for a semester at Georgia Southern, where I was aspiring to be a defensive end.",What position did you play in football?
s001p004s00034727e00035219,,Yes. My senior of high school served at the team's captain.,Were you a football captain?
s001p004s00040819e00043511,,"simple, simple way to track your tasks are thio. Maintain a planner, find a pocket planner and basically write down all your tasks and organize them. Keep them organized. You're going to write, I would say, Write down every task that you have, no matter how minuscule, matter how great, and transfer it over from day to day, and that will allow you to keep track of all your task.",How do you track all your tasks?
s001p004s00051410e00064915,,"all right. I've done number ways for you to decompress and actually slow down. Um, let's go with first by being at home. Home port? Well, being important. So you're on a ship and you're important. One way to decompress would be on the right home and a right to work. Used that quiet time to gather your thoughts, to focus your thoughts, to shift gears from being full throttle at work, to going home to re prioritizing things by being with your family. So keep this in mind. Never take your work home, Leave work at work. And so when you walk outside of that, uh, offer the quarterdeck, take your hard hat off, take cover off figuratively and leave it at work. So you go home, Go be with your family on that ride home. Decompress. Get those thoughts out. Think about things that you that don't involve work. And then when you get home, focus on your family while you're deployed, say, on the ship for a time period, you decompress by working out by doing and being actively engaged in certain hobbies that you might you might be involved in. I think about things like maybe playing video games, reading magazines, reading a book. There's, ah, brief period before you say you're about to go hit the rack for the night. Take about 20 minutes. Thio. You know, pray, read a book, watch a movie, watch video, watch something to help decompress prior to going to sleep.",How do you decompress/slow down?
s001p004s00092417e00114220,,"for me Flight school, it it could be looked at as a touch of situation. But for me, it's, Ah, a learning experience. Flight school didn't work out for me. For a multitude of reasons. I'm a very spiritual person. So when you when you attend a strenuous training environment such as flight school, you have to be 110% focused on achieving that goal. Um, I wasn't able to do that. So down there I was focused on a multitude of different things. That flight school kind of took a back seat. And by the time that it did take a front row seat, it was too late. I was unable to, uh, recover, and fortunately, I was able to regroup and move on to something else. Um, I think as in general as servicemen, you know, sailors and military, uh, people. I guess you could say we all have this this inner thoughts about this inner thought or this interview of ourselves as if we can accomplish any and everything but the reality, you know, we fail. Sometimes, Sometimes things just don't work out, and you have to develop that that outlook that sometimes things just don't go your way, and sometimes you fail. But the key here is when you fail, can you move on with a better outlook on what happened? You always have to look at a situation as a learning experience as some some look at something some in some way, shape or form as how do I improve off of this situation? And that's what I had to do. And that's what you'll be asked to do when whatever situation you're in doesn't go as planned, it's temporary and that you can move on and be, you know, be a better person at whatever it may be. You just hit a bump in the road and you can move forward.",Why didn't flight school work out?
s001p005s00005703e00012717,First Steps,"So in order to set the tone and to find that right tone, I think it's one in the same. You lead by example, um, and you leave with empathy. So if you're gonna understand how someone feels understand how it feels to be laid into a situation, you can better leave someone into a situation so lead by example and leading with company empathy will set the tone for just about any situation.",How do you set the tone as a leader? What is the right tone?
s001p005s00014818e00024016,First Steps,"common mistakes. I see new leaders make our I'm not listening and not observing. My mom would always say and she still says to this day, you listen, you have to our two years, two eyes and one mile, four reason. So listen and observe more than you speak on. I think new leaders doom or talking and less listening than than anything. And that's, ah, big mistake. Also, one more thing is that they so come to outside pressures, and by about falling into those pressures, they tend to rush themselves and skip steps, and that causes issues among team members and say throughout a command. So, um","What are the most common mistakes you've seen new leaders make? (e.g., skipping steps)"
s001p005s00025508e00033204,First Steps,"some problems that should be definitely rooted out would be ego. You're not bigger than the team. You're not bigger than the Navy. You're not more important. But you definitely have to root out your ego going into a situation being a leader in high school, I played football, so we had a LA logo or model. I'm sorry that I always say a big team Little me is The team is bigger than me. So take care ego out of that situation and, uh, everything well, kind of kind of flow.","What problems need to be rooted out early, or you'll have trouble fixing them later?"
s001p005s00035909e00050121,First Steps,"so to answer that question, I think it depends. It depends on the situation. It depends on what needs to take place out of the leader in that role. And also it depends on your experience and your knowledge of the situation, as well as the leaders of the senior petty officers, knowledge and experience in that situation. To bridge that gap and to move forward, you have to communicate early and often, and between yourself and that senior petty officer to kind of develop a understanding off of how he or she operates in a situation how you operate in a situation. It becomes like a marriage relationship between YouTube. Kind of like, you know, shack in Kobe. You know, Jordan and Pippen. You know, you work well together, you learn each other, and you kind of know when and where he or she will be and what they'll say and what needs to be said. And vice versa. Fire yourself",How much leadership should you take charge of versus letting your senior petty officer lead?
s001p005s00053118e00063718,First Steps,"you find that balance? Uh, with your team, you know, it's a It's a tricky situation is kind of tough because the people that should be leading and you'll be working with our will be around the same age. For example, when I was ah E three as an undesignated see me? I was 24 years old and my lieutenant division officer was 24 years old, so we shared a lot of of the similar interests. Sara, A lot of you know, common things amongst ourselves. But how do you find that that balances you? You just keep in mind that you're a lieutenant or you're an incident and he or she is a seaman Airman, First class, third class, second class. One more tidbit. Just keep in mind that you get paid on the 15 1st on the 15th of every month, and you don't want to jeopardize you know, your priorities at home for making a mistake out in the fleet",How do I balance being close with my team versus fraternizing?
