ID,utterance,situation
s001p001s00003153e00003347,yes.,_FEEDBACK_
s001p001s00003700e00003923,"Yes, sir.",_FEEDBACK_
s001p001s00004283e00004440,"Yes, ma'am.",_FEEDBACK_
s001p001s00004793e00005030,excuse me.,_OFF_TOPIC_
s001p001s00005423e00005643,How are you?,_PROMPT_
s001p001s00010077e00010283,Good morning.,_PROMPT_
s001p001s00010687e00010937,good afternoon.,_PROMPT_
s001p001s00011273e00011497,good evening.,_PROMPT_
s001p001s00011867e00012080,good night.,_PROMPT_
s001p001s00012560e00012830,I may have said this before.,_REPEAT_
s001p001s00013156e00013353,no.,_FEEDBACK_
s001p001s00013713e00013920,maybe.,_FEEDBACK_
s001p001s00014187e00014640,perhaps.,_FEEDBACK_
s001p001s00014807e00015027,of course.,_FEEDBACK_
s001p001s00015530e00015756,always.,_FEEDBACK_
s001p001s00020047e00020330,sometimes.,_FEEDBACK_
s001p001s00020803e00021017,never,_FEEDBACK_
s001p001s00021477e00021707,often.,_FEEDBACK_
s001p001s00022117e00022350,I do.,_FEEDBACK_
s001p001s00022673e00022917,I don't.,_FEEDBACK_
s001p001s00023303e00023567,I have no idea.,_OFF_TOPIC_
s001p001s00024043e00024337,I don't think so.,_FEEDBACK_
s001p001s00024713e00025127,here is something you should really know.,_PROMPT_
s001p001s00025490e00030040,"That's a good question, but I want to tell you something.",_OFF_TOPIC_
s001p004s00002773e00015773,,_IDLE_
s001p007s00002047e00002587,I don't have enough information to talk about that.,_OFF_TOPIC_
s001p007s00003113e00003470,I don't have an answer for that.,_OFF_TOPIC_
s001p007s00004503e00005300,"That is a great question. Unfortunately, I have not recorded the answer for that.",_OFF_TOPIC_
s001p007s00010170e00010660,That is a great question. I wish I had thought of that.,_OFF_TOPIC_
s001p007s00011630e00012290,"That is a great question, but unfortunately, I don't have an answer right now.",_OFF_TOPIC_
s001p007s00013163e00013610,"Unfortunately, I was never asked that question.",_OFF_TOPIC_
s001p007s00014353e00014710,you may have to ask me something else.,_OFF_TOPIC_
s001p007s00015424e00015770,What do you want to talk about?,_PROMPT_
s001p007s00020400e00020747,What would you like to ask me?,_PROMPT_
s001p007s00021327e00021617,What do you want to know?,_PROMPT_
s001p007s00022307e00022620,What do you want to know about me?,_PROMPT_
s001p007s00023387e00023760,What do you want to know about leadership?,_PROMPT_
s001p007s00025617e00030060,you can ask me about your first month as a leader.,_PROMPT_
s001p007s00030797e00031270,you can ask me about my go to leadership strategy.,_PROMPT_
s001p007s00033867e00034477,you can ask me how to get your life set up after a big move.,_PROMPT_
s001p007s00035430e00040200,you can ask me about serious problems like sexual harassment or suicide.,_PROMPT_
