Situation,Mentor,Utterance/Prompt
_BIO_LONG_,trevitt-jennifer-prof-psych,"My name is Dr Jennifer Trav It I'm an associate professor in the psychology department at California State University, Fullerton. I did my undergrad at Fullerton, so I'm actually an alum. I did my PhD at the University of Connecticut, so I lived in Connecticut for about four years, and then I came back to California and worked at U. C. I. And then I started teaching at Cal State Fullerton. I study the effects of nutrition on anxiety, depression and learning, and the courses that I teach our bio psychology, which has a lecture component and a lab component. I also teach psychopharmacology, which is the study of how drugs affect the brain. And I also teach intermediate research methods and statistics. And I love all of these classes. I have three Children and I'm married. My Children are 15 years old. I actually have triplets. They were born the year after I started teaching at Cal State Fullerton. So I've pretty much been a full time parent the whole time that I've been a full time professor and I really love my job."
_INTRO_,trevitt-jennifer-prof-psych,"My name is Dr Jennifer Trev. It and I'm an associate professor in the psychology department at California State University, Fullerton. My research focuses on the effects of nutrition on depression, anxiety and learning."
_PROMPT_,trevitt-jennifer-prof-psych,Hello.
_FEEDBACK_,trevitt-jennifer-prof-psych,it's nice to meet you.
_PROMPT_,trevitt-jennifer-prof-psych,go ahead.
_FEEDBACK_,trevitt-jennifer-prof-psych,thanks.
_FEEDBACK_,trevitt-jennifer-prof-psych,yes.
_FEEDBACK_,trevitt-jennifer-prof-psych,"Yes, sir."
_FEEDBACK_,trevitt-jennifer-prof-psych,"Yes, ma'am."
_OFF_TOPIC_,trevitt-jennifer-prof-psych,excuse me.
_PROMPT_,trevitt-jennifer-prof-psych,How are you?
_PROMPT_,trevitt-jennifer-prof-psych,Good morning.
_PROMPT_,trevitt-jennifer-prof-psych,good afternoon.
_PROMPT_,trevitt-jennifer-prof-psych,good evening.
_PROMPT_,trevitt-jennifer-prof-psych,good night.
_REPEAT_,trevitt-jennifer-prof-psych,I may have said this before.
_FEEDBACK_,trevitt-jennifer-prof-psych,Nope.
_FEEDBACK_,trevitt-jennifer-prof-psych,maybe.
_FEEDBACK_,trevitt-jennifer-prof-psych,"of course, yeah."
_FEEDBACK_,trevitt-jennifer-prof-psych,perhaps right.
_FEEDBACK_,trevitt-jennifer-prof-psych,always.
_FEEDBACK_,trevitt-jennifer-prof-psych,sometimes.
_FEEDBACK_,trevitt-jennifer-prof-psych,never
_FEEDBACK_,trevitt-jennifer-prof-psych,often.
_FEEDBACK_,trevitt-jennifer-prof-psych,I dio.
_FEEDBACK_,trevitt-jennifer-prof-psych,I don't.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I have no idea.
_FEEDBACK_,trevitt-jennifer-prof-psych,I don't think so.
_PROMPT_,trevitt-jennifer-prof-psych,So here's something you should really know.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,"That's a good question, but I want to make sure to tell you something."
_FEEDBACK_,trevitt-jennifer-prof-psych,I hope so.
_FEEDBACK_,trevitt-jennifer-prof-psych,I'm sorry.
_FEEDBACK_,trevitt-jennifer-prof-psych,I'm sorry to hear that.
_FEEDBACK_,trevitt-jennifer-prof-psych,Thank you.
_FEEDBACK_,trevitt-jennifer-prof-psych,I understand that.
_FEEDBACK_,trevitt-jennifer-prof-psych,I went through something similar.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I'm not sure.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I can't hear you.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't understand.
_PROMPT_,trevitt-jennifer-prof-psych,Can you repeat that?
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't have an answer for that.
_PROMPT_,trevitt-jennifer-prof-psych,Can you ask me something else?
_OFF_TOPIC_,trevitt-jennifer-prof-psych,it would help if you could keep your questions short and simple.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,Can you rephrase the question?
_FEEDBACK_,trevitt-jennifer-prof-psych,you can click on the link for more information.
