ID,utterance,situation
s001p002s00001710e00014297,"My name is Dr Jennifer Trevitt I'm an associate professor in the psychology department at California State University, Fullerton. I did my undergrad at Fullerton, so I'm actually an alum. I did my PhD at the University of Connecticut, so I lived in Connecticut for about four years, and then I came back to California and worked at U. C. I. And then I started teaching at Cal State Fullerton. I study the effects of nutrition on anxiety, depression and learning, and the courses that I teach our bio psychology, which has a lecture component and a lab component. I also teach psychopharmacology, which is the study of how drugs affect the brain. And I also teach intermediate research methods and statistics. And I love all of these classes. I have three Children and I'm married. My Children are 15 years old. I actually have triplets. They were born the year after I started teaching at Cal State Fullerton. So I've pretty much been a full time parent the whole time that I've been a full time professor and I really love my job.",_BIO_LONG_
s001p006s00001400e00014400,,_IDLE_
s001p007s00000877e00002407,"My name is Dr Jennifer Trevitt and I'm an associate professor in the psychology department at California State University, Fullerton. My research focuses on the effects of nutrition on depression, anxiety and learning.",_INTRO_
s001p012s00001036e00001323,Hello.,_PROMPT_
s001p012s00001756e00002189,it's nice to meet you.,_FEEDBACK_
s001p012s00002616e00002814,go ahead.,_PROMPT_
s001p012s00003375e00003567,thanks.,_FEEDBACK_
s001p012s00004009e00004149,yes.,_FEEDBACK_
s001p012s00004617e00004791,"Yes, sir.",_FEEDBACK_
s001p012s00005259e00005509,"Yes, ma'am.",_FEEDBACK_
s001p012s00005906e00010101,excuse me.,_OFF_TOPIC_
s001p012s00010668e00010894,How are you?,_PROMPT_
s001p012s00011406e00011597,Good morning.,_PROMPT_
s001p012s00012076e00012280,good afternoon.,_PROMPT_
s001p012s00012806e00013019,good evening.,_PROMPT_
s001p012s00013516e00013732,good night.,_PROMPT_
s001p012s00014283e00014586,I may have said this before.,_REPEAT_
s001p012s00015082e00015250,Nope.,_FEEDBACK_
s001p012s00015714e00015979,maybe.,_FEEDBACK_
s001p012s00021034e00021237,"of course, yeah.",_FEEDBACK_
s001p012s00022566e00022920,perhaps right.,_FEEDBACK_
s001p012s00024154e00024432,always.,_FEEDBACK_
s001p012s00024775e00025000,sometimes.,_FEEDBACK_
s001p012s00025318e00025543,never,_FEEDBACK_
s001p012s00025928e00030093,often.,_FEEDBACK_
s001p012s00030489e00030713,I do.,_FEEDBACK_
s001p012s00031113e00031343,I don't.,_FEEDBACK_
s001p012s00031819e00032098,I have no idea.,_OFF_TOPIC_
s001p012s00032556e00032935,I don't think so.,_FEEDBACK_
s001p012s00033388e00033795,So here's something you should really know.,_PROMPT_
s001p012s00034350e00034951,"That's a good question, but I want to make sure to tell you something.",_OFF_TOPIC_
s001p018s00001554e00001873,I hope so.,_FEEDBACK_
s001p018s00002280e00002564,I'm sorry.,_FEEDBACK_
s001p018s00002955e00003321,I'm sorry to hear that.,_FEEDBACK_
s001p018s00003660e00003928,Thank you.,_FEEDBACK_
s001p018s00004328e00004686,I understand that.,_FEEDBACK_
s001p018s00005089e00005477,I went through something similar.,_FEEDBACK_
s001p018s00005806e00010139,I'm not sure.,_OFF_TOPIC_
s001p018s00010556e00010906,I can't hear you.,_OFF_TOPIC_
s001p018s00011257e00011656,I don't understand.,_OFF_TOPIC_
s001p018s00011956e00012284,Can you repeat that?,_PROMPT_
s001p018s00012792e00013203,I don't have an answer for that.,_OFF_TOPIC_
s001p018s00013674e00014096,Can you ask me something else?,_PROMPT_
s001p018s00014628e00015294,it would help if you could keep your questions short and simple.,_OFF_TOPIC_
s001p018s00015696e00020113,Can you rephrase the question?,_OFF_TOPIC_
s001p018s00020625e00021102,you can click on the link for more information.,_FEEDBACK_
s001p018s00021643e00022085,here's some resource is that you can check out.,_FEEDBACK_
s001p026s00015617e00015903,I cannot predict the future.,_FEEDBACK_
s001p026s00020390e00020800,I don't want to speculate about the future.,_FEEDBACK_
s001p026s00021140e00021413,I don't know what that is.,_OFF_TOPIC_
s001p026s00021897e00022260,I don't know who that ISS.,_OFF_TOPIC_
s001p026s00022637e00022970,I'm not going to talk about that.,_OFF_TOPIC_
s001p026s00023393e00023727,I'm not here to talk about that.,_OFF_TOPIC_
s001p026s00024077e00024320,anything else.,_PROMPT_
s001p026s00032940e00033307,I don't have enough information to talk about that.,_OFF_TOPIC_
s001p026s00033787e00034093,I don't have an answer for that.,_OFF_TOPIC_
s001p026s00034533e00034883,I don't really have an opinion on that.,_OFF_TOPIC_
s001p026s00035507e00040030,"That is a great question, but unfortunately I don't have an answer for that right now.",_OFF_TOPIC_
s001p026s00040597e00041017,That is a great question. I wish I thought of that.,_OFF_TOPIC_
s001p026s00041660e00042200,"That's an interesting question, but I'm here to talk about psychology training.",_OFF_TOPIC_
s001p026s00042707e00043203,"Unfortunately, I was never asked that question.",_OFF_TOPIC_
s001p026s00043620e00044000,you might have to ask me something else.,_OFF_TOPIC_
s001p026s00044383e00044730,What do you want to talk about?,_PROMPT_
s001p026s00045187e00045483,What would you like to ask me?,_PROMPT_
s001p026s00045817e00050087,What do you want to know?,_PROMPT_
s001p026s00050583e00050927,I see you didn't ask anything there.,_PROMPT_
s001p026s00051383e00051730,you have to ask me something to get a response.,_PROMPT_
s001p027s00001221e00001581,What do you want to know about me?,_PROMPT_
s001p027s00002159e00002648,What do you want to know about working in psychology?,_PROMPT_
s001p027s00003173e00003569,What do you want to know about being a professor?,_PROMPT_
s001p027s00004056e00004492,What do you want to know about studying psychology?,_PROMPT_
s001p027s00004944e00005333,What kind of advice are you looking for?,_PROMPT_
s001p027s00005760e00010161,you could ask me about my education.,_PROMPT_
s001p027s00010615e00011010,you could ask me about my job.,_PROMPT_
s001p027s00011451e00011775,you could ask me about my background.,_PROMPT_
s001p027s00012463e00013041,"Go ahead, ask me who gave me the best advice about my career.",_PROMPT_
