Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,,,,,,,,
What is your name?,What are you called?,What do you go by?,What do people call you?,What do you like to be called?,How should I address you?,Who are you?,,,,,,,,,,,,,,,,,,,,,,,,
What year were you born?,When were you born?,What is your birth year?,What is your date of birth?,,,,,,,,,,,,,,,,,,,,,,,,,,,
How old are you?,What is your age?,How many years have you been alive?,How much older are you than me?,How much younger are you than me?,,,,,,,,,,,,,,,,,,,,,,,,,,
Where were you born?,Where do you come from?,Where are you from?,In what area where you born?,From where do you originate?,Birthplace?,,,,,,,,,,,,,,,,,,,,,,,,,
Where did you grow up?,Where did you spend your childhood?,Where is your hometown?,Are you from around here?,Have you been here your whole life?,Are you a local?,What is your hometown?,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about your childhood.,What was your childhood like?,What was it like growing up for you?,What were you like as a kid?,How was your childhood?,How was it growing up?,How did your childhood influence you?,Did you have a difficult childhood?,,,,,,,,,,,,,,,,,,,,,,,
What did you want to be when you were growing up?,What was your dream job as a kid?,Did you dream of doing exactly what you are doing now?,Do you remember what wanted to be when you were a kid?,What did you think your ideal job would be when you grew up?,What did you dream of doing when you were young?,What did you dream of doing when you were a kid?,What did you think you would be when you were growing up?,Did you always want to pursue this kind of work?,Is your job always what you expected to do?,Did you think of becoming a professor when you were growing up?,Did you hope to become a professor when you were a kid?,Did you always want to be a professor?,,,,,,,,,,,,,,,,,,
Tell me about your family.,Do you have any siblings?,How would you describe your family?,Talk about your family.,What can you tell me about your family?,Do you have any family?,What's your family like?,,,,,,,,,,,,,,,,,,,,,,,,
Are you married or in a relationship?,Do you have a husband?,Do you have a wife?,Are you single?,Have you tied the knot?,Have you been married?,Is there someone waiting for you at home?,Do you have a spouse?,Do you have a significant other?,Do you have a romantic relationship?,Is there romance in your life?,Do you have a partner?,,,,,,,,,,,,,,,,,,,
Do you have any kids?,Do you have children?,Do you have a son?,Do you have a daughter?,Are you raising a child?,Do you take care of any kids?,Do you have any sons or daughter?,Do you have any children?,Are you a parent?,,,,,,,,,,,,,,,,,,,,,,
What are your hobbies?,What do you do for fun?,What are you interested in for fun?,What do you do in your spare time?,What do you like to do?,Do you play video games?,Do you have any hobbies?,What are your hobbies?,Do you have time for hobbies?,What do you enjoy doing in your free time?,,,,,,,,,,,,,,,,,,,,,
What is your educational background?,What college or university degrees did you earn?,Where did you get your degree?,Where did you go to school?,Where did you attend college?,What degrees do you have?,What kinds of degrees have you earned?,,,,,,,,,,,,,,,,,,,,,,,,
What do you do?,What career are you pursuing?,How do you earn your money?,What is your career?,How do you earn money?,What is your job?,What do you do now?,What kind of work do you do?,What line of of work are you in?,What is your job title?,,,,,,,,,,,,,,,,,,,,,
How long have you been in your job?,How long have you had your career?,How long have you been working?,When did you start your career?,When did you start your job?,How many years of experience do you have in your field?,How long have you held your position?,How long have you been a professor?,,,,,,,,,,,,,,,,,,,,,,,
How did you choose this career?,How did you end up choosing your career?,How did you decide to become a professor?,How did you get interested in the field?,When did you realize you wanted to pursue a career in this field?,How did you choose your career path?,How did you decide to become a professor?,,,,,,,,,,,,,,,,,,,,,,,,
Why did you choose this career?,Why did you choose your career path?,Why did you chose the career you did?,Why did you pursue this field?,Why did you decide to have the career that you have now?,Why did you decide on this career?,Why didn't you choose another career?,Why did you decide to become a professor?,,,,,,,,,,,,,,,,,,,,,,,
Are all of your degrees in Psychology?,Do you only have Psychology degrees?,Do you have any other degrees besides Psychology?,Do you have degrees that are not in Psychology?,Did you study anything other than psychology?,Did you only study psychology?,,,,,,,,,,,,,,,,,,,,,,,,,
How did you choose your major?,How did you choose what you wanted to study?,How did you choose your field of study?,Did anyone help you choose your major?,How did you decide that you want to pursue this major?,What made you decide on this major?,What led you to major in psychology?,How did you decide to study psychology?,,,,,,,,,,,,,,,,,,,,,,,
How did it affect your career choices that your father was a clinical psychologist?,How did your father's career affect your career choice?,Did your parents affect your career choice?,Was your dad influential in your career choice?,How did your parents influence your career choice?,Did your family impact your career choices?,Did having a clinical psychologist in the family affect your career choice?,Did being a daughter of a clinical psychologist affect your career choice?,How influential was the fact that your Dad was a clinical psychologist?,How did having a clinical psychologist Dad affect your career choice?,,,,,,,,,,,,,,,,,,,,,
What other majors did you consider?,Did you consider other majors?,What other fields did you consider?,What other majors did you think about?,Any other majors you considered?,Did you only consider psychology as a major?,Were you always set on your major?,Did you consider any alternate majors?,Was this the only major that you wanted to do?,,,,,,,,,,,,,,,,,,,,,,
Can I call you Jenn?,Does anyone call you Jen?,Jen?,Hi Jen ,Do you have a nickname?,Do you mind if I call you Jen?,Is it okay if I call you Jen?,Is it Jen with one or two n's?,Do people call you Jenn?,Do your students call you Jenn?,Do your students call you by your first name?,Can I call you by your first name?,,,,,,,,,,,,,,,,,,,
Why did you go to school at Fullerton?,Why did you choose to attend Fullerton?,What made you go to school at Fullerton?,Why did you complete your undergrad at Fullerton?,What influenced you to go to school at Fullerton?,Why Fullerton?,Why didn't you pick another school?,What made you choose Fullerton over other schools?,,,,,,,,,,,,,,,,,,,,,,,
How did your parents' divorce impact your career choices?,Did your parents' divorce affect your career choice?,How did your parents' divorce affect your career choice?,Was your career path impacted by your parents' divorce?,Did your parents' divorce has anything to do with your career choice?,Did your parents' divorce have an impact on your career choice?,How did your parents' divorce impact you?,,,,,,,,,,,,,,,,,,,,,,,,
What is it like teaching at Fullerton when you are an alum who graduated from the same university?,What is like teaching at a university that you attended?,What is like being a teacher for your alma mater?,What is it like teaching at a school that you used to attend?,What is like teaching at Fullerton while also being an alumni?,What is like teaching at Fullerton when you used to be a Titan?,How does it feel to come back to Fullerton as a teacher?,What's it like being back at Fullerton to teach?,What's it like being back at Fullerton for your job?,How do you like being at Fullerton again for your job?,,,,,,,,,,,,,,,,,,,,,
What culture(s) do you most identify with?,What is your cultural identity?,What's your cultural background?,Do you have a culture you most identify with?,Can you tell me about your culture?,How would you describe your culture(s)?,,,,,,,,,,,,,,,,,,,,,,,,,
What are your job responsibilities?,What do you do at work?,What do you do at your job?,What are you responsible for at work?,What are your roles at work?,How would you describe your duties?,How would you describe your job responsibilities?,How would you describe your responsibilities at work?,What are you responsible for at your work?,What are your primary responsibilities as a professor?,What are you required to do?,What are your job obligations?,,,,,,,,,,,,,,,,,,,
What is an average day like on the job?,What does an average day at work entail?,What is an average day like on the job?,What do you do on a daily basis at work?,What is a normal day like at work?,What is a normal day like on the job?,Tell me about a typical day at your job.,Can you describe a typical day at your job?,What do you do on a usual day at work?,What do you do on a typical day at work?,,,,,,,,,,,,,,,,,,,,,
How many hours do you work in a typical day or week?,What are your hours like?,What are your work hours?,How much do you work?,How many hours do you work?,Do you have long hours?,How long was your shift?,How long are your shifts?,How many hours do you work per week on average?,What are your weekly hours?,How many hours do you put in every week?,Do you work full-time?,Do you work a lot of hours?,,,,,,,,,,,,,,,,,,
What do you enjoy the most about your job?,Enjoyment you get from your job,What do you enjoy most about your career?,What do you love most about your career?,"Overall, do you enjoy your job?",Why do you love your job?,What do you enjoy most about this field? ,What is your favorite part about the job?,,,,,,,,,,,,,,,,,,,,,,,
What do you find the most interesting about your job?,What do you find most interesting in the job?,What is most interesting about your career?,What do you think is the most interesting aspect of your job?,What part of the job is the most interesting?,What would make you think that you have never worked a day in your life?,,,,,,,,,,,,,,,,,,,,,,,,,
What do you like the least about your job?,What do you like least about your job?,What do you like least about your career?,What is the worst part about your job?,What do you hate about your job?,What about your job do you hate?,Is there anything you hate about your job?,What do you dislike about your job?,Is there anything you dislike about your work?,,,,,,,,,,,,,,,,,,,,,,
What is the most difficult part of your job?,What is the most difficult situation you have encountered throughout your career?,What is the most difficult part of your career?,Difficult job?,What is the hardest part about your job?,What makes your job hard?,What has been the most challenging part about your job?,,,,,,,,,,,,,,,,,,,,,,,,
What is the most rewarding part of your job?,What are the greatest rewards of your job?,What is the biggest reward of your job?,What is most rewarding about your job?,Is your job rewarding in any way?,Does your job have any big rewards?,What do you find rewarding about your career?,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with your job or career?,Are you satisfied with your career?,Are you happy with your career?,Are you satisfied with what you're doing now?,Do you find your job satisfying?,What is your satisfaction with this line of work?,Are you fulfilled?,,,,,,,,,,,,,,,,,,,,,,,,
What are some of the common misconceptions about your profession?,How are people fooled about what you do for a living?,Do people get the wrong idea about what you do?,What are the myths about what you do?,Do the movies and TV portray your job well?,Is you work as stressful as it is shown on TV?,What is misleading about your job?,Is your job misleading to others?,What are some false misconceptions about your job?,What do people not know about your job?,What do people get wrong about your job?,What do people not understand about your job?,What do people get wrong about being a professor?,What do people not understand about being a professor?,,,,,,,,,,,,,,,,,
