Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
Long bio,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your name?,Who are you?,What do people call you?,How are you addressed?,What is your name?,,,,,,,,,,,,,,,,,,,,,,
What year were you born?,When were you born?,What is your date of birth?,What time were you born?,When was your birth year?,Which year were you born?,,,,,,,,,,,,,,,,,,,,,
How old are you now?,What is your age?,How many years have you been alive?,How many birthdays have you had?,You look old.,Are you my age?,,Are you old?,What's your age?,,,,,,,,,,,,,,,,,,
When is your birthday? ,What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,,,,,,,,,,,,,,,,,,,,,
Where did you grow up?,Where did you spend your childhood?,Where are you from?,Where did you go to high school?,Where's your hometown?,Where do you call home?,,Were you born here?,Where were you born?,,,,,,,,,,,,,,,,,,
Tell me about your family growing up.,What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,,how are your parents?,how is your family?,,,,,,,,,,,,,,,,,,
Tell me about your childhood,What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,,Were you a bad kid?,What kind of kid were you?,,,,,,,,,,,,,,,,,,
When did you join the Navy?,What year did you join the Navy?,When did you sign up for the military?,When did you begin serving?,When did you sign your Navy contract?,When did you start your Navy career?,,when did you enlist?,,,,,,,,,,,,,,,,,,,
Are you currently serving in the military?,Are you currently in the Navy?,Are you in the Navy now?,Are you still in the Navy?,Are you still in the military?,Are you in the military now?,,Did you leave the Navy?,what do you do in the navy?,,,,,,,,,,,,,,,,,,
What is your current rank and duty position now?,What are you currently ranked?,What is your position in the Navy?,,,,,,,,,,,,,,,,,,,,,,,,
How will you spend most of your time at work?,What will you be doing during work,What do you have to do for work,How will you be spending your time,,,,,,,,,,,,,,,,,,,,,,,
What kind of decisions will you be making?,What decisions will you have to make,What choices will you have to make,What are some decisions that you will have to make,,,,,,,,,,,,,,,,,,,,,,,
What are the major benefits of doing this type of work?,What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,,,,,,,,,,,,,,,,,,,,,,,
What are the negatives about being a Navy pilot?,What's bad about being a pilot?,What is bad about your job?,What are the drawbacks of being a pilot?,,,,,,,,,,,,,,,,,,,,,,,
How much do Navy pilots travel in a year?,Do you travel a lot?,Do pilots travel a lot?,,,,,,,,,,,,,,,,,,,,,,,,
To what extent will you understand the overall goals of the work you are doing?,Can you see the bigger picture,Do you understand the bigger picture,Will you feel important,,,,,,,,,,,,,,,,,,,,,,,
How stable is the employment of your job?,Tell me about your job security,How stable is being in the navy,Is your job safe?,,,,,,,,,,,,,,,,,,,,,,,
Do you know members of your job that have high stress syndromes or problems?,Is a Navy career stressful?,Are Navy members stressed?,How stressful is the job?,,,,,,,,,,,,,,,,,,,,,,,
What if someone finds out that they do not like being a pilot?,What if I don't like pilot school?,What if I no longer want to be a pilot?,What happens if I don't want to be a pilot?,,,,,,,,,,,,,,,,,,,,,,,
How did you come to join JROTC and ROTC?,What made you join ROTC?,What made you join JROTC?,How did you join ROTC,,,,,,,,,,,,,,,,,,,,,,,
What is JROTC?,What exactly is JROTC?,What is JROTC like?,Can you tell me about JROTC?,,,,,,,,,,,,,,,,,,,,,,,
What is ROTC?,Tell me about ROTC,Can you tell me about ROTC?,What exactly is ROTC?,,,,,,,,,,,,,,,,,,,,,,,
What does NROTC stand for?,What does NROTC mean?,What do you mean by NROTC?,,,,,,,,,,,,,,,,,,,,,,,,
What does JROTC stand for?,What do you mean by JROTC?,Does JROTC stand for anything?,,,,,,,,,,,,,,,,,,,,,,,,
What is the different between JROTC and ROTC?,Can you tell me the difference between ROTC and JROTC?,What is the difference between JROTC and ROTC?,Compare JROTC and ROTC,,,,,,,,,,,,,,,,,,,,,,,
What does a typical day in ROTC look like?,What is a typical day for ROTC?,What do you do if you are in ROTC?,How do you spend your time in ROTC?,,,,,,,,,,,,,,,,,,,,,,,
Is there a sense of community within ROTC?,How do people in ROTC treat each other?,What's the environment like in ROTC?,Is there bonding in ROTC?,,,,,,,,,,,,,,,,,,,,,,,
