Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
Background,,juliannenordhagen,Long bio,"Hi my name's Julianne Nordhagen, I'm an Ensign in the United States Navy and I'm currently a student naval aviator so that means that I have commissioned into the navy and I am starting to learn how to fly planes and will then become a full trained pilot for the Navy.",,,,,,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,What is your name?,"Hi, my name's Julianne Nordhagen.",Who are you?,What do people call you?,How are you addressed?,What is your name?,,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,What year were you born?,I was born in 1995.,When were you born?,What is your date of birth?,What time were you born?,When was your birth year?,Which year were you born?,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,How old are you now?,I am currently 22 years old.,What is your age?,How many years have you been alive?,How many birthdays have you had?,You look old.,Are you my age?,,Are you old?,What's your age?,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,When is your birthday? ,"My birthday? That's April 27th, 1995.",What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,Where did you grow up?,I grew up in Boca Raton Florida.,Where did you spend your childhood?,Where are you from?,Where did you go to high school?,Where's your hometown?,Where do you call home?,,Were you born here?,Where were you born?,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,Tell me about your family growing up.,"I'm from a very big family. I'm one of four kids. I have an older brother and then I have two younger sisters and the girls in my family are Jackie, Julianne, and Jenny, and Jane and all the boys in my family are Rob and Ron so lots of “R”s or “J”s.",What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,,how are your parents?,how is your family?,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,Tell me about your childhood,"Coming from a big family and living in South Florida we spent a lot of time outside and a lot of time playing sports and going to the beach.  My mom also thought it was really important to do a lot of in home activities so did a lot of cooking, did a lot of reading, and a lot of sewing actually sewed a lot of my clothes.",What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,,Were you a bad kid?,What kind of kid were you?,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,When did you join the Navy?,"I technically joined the navy when I was a freshman at USC, so that was 2013 but my time with the Navy goes way beyond that to the four years in high school when I first joined JROTC as a freshman so I was 2009.",What year did you join the Navy?,When did you sign up for the military?,When did you begin serving?,When did you sign your Navy contract?,When did you start your Navy career?,,when did you enlist?,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,Are you currently serving in the military?,I am currently active duty in the United States Navy.,Are you currently in the Navy?,Are you in the Navy now?,Are you still in the Navy?,Are you still in the military?,Are you in the military now?,,Did you leave the Navy?,what do you do in the navy?,,,,,,,,,,,,,,,,,,
