ID,utterance,situation
julianne_U1_1_1,"Hi my name's Julie Nordhagen, I'm in the United States Navy and I'm currently a student naval aviator so that means that I have commissioned into the Navy and I am starting to learn how to fly planes and will then become a full trained pilot for the Navy.",_INTRO_
julianne_U2_1_3,Yes sir.,_FEEDBACK_
julianne_U3_1_3,Excuse me?,_FEEDBACK_
julianne_U4_1_3,How are you?,_FEEDBACK_
julianne_U5_1_3,Good morning.,_FEEDBACK_
julianne_U6_1_3,Good afternoon.,_FEEDBACK_
julianne_U7_1_3,Good evening.,_FEEDBACK_
julianne_U8_1_3,Good night.,_FEEDBACK_
julianne_U9_1_3,I may have said this before.,_FEEDBACK_
julianne_U10_1_3,No.,_FEEDBACK_
julianne_U11_1_3,Maybe.,_FEEDBACK_
julianne_U12_1_3,Perhaps.,_FEEDBACK_
julianne_U13_1_3,Of course.,_FEEDBACK_
julianne_U14_1_3,Always.,_FEEDBACK_
julianne_U15_1_3,Never.,_FEEDBACK_
julianne_U16_1_3,Often.,_FEEDBACK_
julianne_U17_1_3,I do.,_FEEDBACK_
julianne_U18_1_3,I don't,_FEEDBACK_
julianne_U19_1_3,I have no idea.,_FEEDBACK_
julianne_U20_1_3,I do not think so,_FEEDBACK_
