What's up?,I'm enjoying life here in Japan %HESITATION I just got through teaching of the class earlier today and it was really fun so 
How is the weather?,the weather is actually pretty cold it's very sunny here in classical Japan and you think that you can go outside and you think up but it's freezing 
How are you?,I would say that I'm pretty good today I %HESITATION but the study not really so my mind and my motivation is pretty high and I I'm smiling every single day so life is good 
Where are you?,right now I am in the north east of Japan it's in the total could resume I you might remember that that's the place that the big earthquake of Japan happened in two thousand eleven so I'm in kind of like the countryside of Japan and %HESITATION they're big buildings and skyscrapers but %HESITATION life is very %HESITATION quite open this 
What are your hobbies?,my hobbies are very %HESITATION very different depending on which country I'm in so right now I'm in Japan ands I %HESITATION I don't really do too much of it and play video games but when I'm in the United States and I'm playing online games guild wars two and I do lots of Hartford %HESITATION issue our tree with the USC archery club and I do it here to the college you go you know which is like very well of a super cool way of doing archery but it's %HESITATION I like doing that sports 
How did you get into archery?,I got into our tree based on of the fact that I was kind of the geek when I was growing up I used to play dungeons and dragons and %HESITATION you know that %HESITATION they're like these warriors and elves and my favorite character was like arranges so we always had as little of help your friend you know like kind of pet and it always goes to things %HESITATION so %HESITATION I grew up in Alabama and we use to shoot guns a lot too and the fact that I was into that kind of %HESITATION game in the fact that I use that you guys myself really got me into like a like long distance kind of a kind of sports so %HESITATION I got my two %HESITATION a experts of my marks minimize start shooter %HESITATION publications and %HESITATION because I'm really good with my eyes you know that got me into it archery because it's like he's a to do here rather than shooting guns 
What is a chief?,%HESITATION where this anger right here the chief is basically the supervisor of the enlisted side of the operational problem portion of the ship %HESITATION he's actually been in the navy for a long time most chiefs become chiefs after about twelve years or maybe fourteen years %HESITATION some of the hot runners can %HESITATION become chief after eight years but basically no matter what number one they're really good at their job our number two they have the support of the officers to make sure that they can take of the plants themselves and number three they %HESITATION they have really get expertise and %HESITATION years in doing what they've been doing so they can be trusted terror actually tell you what to do because they've done it so many times 
"What does ""in port"" mean?",so we have this term it's import import means that you're stationed your your station you're actually add another country's %HESITATION kind of naval base %HESITATION you might not actually enable base it's a place that whole ship so we on the planet islets are you in the middle of the %HESITATION on of the ocean you there for a month or two months %HESITATION then you finally wanna you know put your feet on the land so %HESITATION you could priced up in Hong Kong or Singapore where they can hold a ship that's safe for a United States naval vessel %HESITATION you can pull it and then that's a new country for you that's import 
"Where have you been ""in port""?",I was fortunate enough to be in court at many places so I've been to Singapore Malaysia Hong Kong Japan I've also been to a Australia out three times to Perth in Hobart I've been to %HESITATION what sort of a into so many places about ten paces off 
"Where have you been ""in port""?",I was fortunate enough to be in court %HESITATION in many countries I got to go to Hong Kong Singapore I want to Australia three different places the Hong Kong in Tasmania I also like to do by hand but rain in Kuwait I got to go to the the Malaysia Malaysia the Golden Triangle which is really cool %HESITATION my favorite place was sizeable Japan which is %HESITATION where I am now yeah and a couple of other places is really been fun during 
