ID,topics,text,question
julianne_A1_1_2,background,hi my name's Julie in Oregon I'm in and sit in the United States Navy and I'm currently a student naval aviator so that means that I have commissioned into the navy and I am starting to learn how to fly planes and  will then become a full trained pilot for the navy ,Long bio
julianne_A2_1_3,background,hi my name's Julia Nordic and ,"What is your name?
Who are you?
What do people call you?
How are you addressed?
What is your name?"
julianne_A3_1_3,background,"I was born in 1979. So, right now, I am 37 years old.","What year were you born?
When were you born?
What is your date of birth?
What time were you born?
When was your birth year?
Which year were you born?"
julianne_A4_1_3,background,I am currently twenty two years old ,"How old are you now?
What is your age?
How many years have you been alive?
How many birthdays have you had?
You look old.
Are you my age?

Are you old?
What's your age?"
julianne_A5_1_3,background,my birthday that's able twenty seventh nineteen ninety five ,"When is your birthday? 
What date were you born?
In what month were you born?
What's your sign?
Is it your birthday?
When is your date of birth?"
julianne_A6_1_3,background,you grow up I grew up in Boca Raton Florida ,"Where did you grow up?
Where did you spend your childhood?
Where are you from?
Where did you go to high school?
Where's your hometown?
Where do you call home?

Were you born here?
Where were you born?"
julianne_A7_1_3,background,I'm from a very big family I'm one of four kids I have an older brother and then I have two younger sisters and right the girls in my family are Jackie Julie and Jenny and Jane and all the boys in my family are robin run so lots of ours are Jay's ,"Tell me about your family growing up.
What is your family like?
What is your relationship with your family?
How well do you get along with your folks?
Who were your parents?
Do you like your parents?

how are your parents?
how is your family?"
julianne_A8_1_3,background,coming from a big family and live in South Florida we sent a lot of time outside and a lot of time playing sports and going to the beach my mom also thought it was really important to do a lot of in home activities so did a lot of cooking did a lot of reading and a lot of sewing actually so if you a lot of my clothes ,"Tell me about your childhood
What was your childhood like?
What was it like for you growing up?
How were you raised?
When you were young, what was your family like?
Were you a good kid?

Were you a bad kid?
What kind of kid were you?"
julianne_A9_1_3,background,I'd technically joined the navy when I was a freshman at U. S. seeing so that was twenty thirteen but my time with the navy goes way beyond that to the four years in high school when I first joined JROTC as a freshman so I was those two thousand nine ,"When did you join the Navy?
What year did you join the Navy?
When did you sign up for the military?
When did you begin serving?
When did you sign your Navy contract?
When did you start your Navy career?

when did you enlist?"
julianne_A10_1_3,background,I am currently active duty in the United States Navy ,"Are you currently serving in the military?
Are you currently in the Navy?
Are you in the Navy now?
Are you still in the Navy?
Are you still in the military?
Are you in the military now?

Did you leave the Navy?
what do you do in the navy?"
julianne_A11_1_3,"Military, Navy",the position my current rank is an ensign in the United States Navy and my current duty position is that I am a student naval aviator so I'm learning to fly planes ,"What is your current rank and duty position now?
Right now, I'm a Chief. In the pay grade scale, that's an E7. There are E1 through E9 pay grades for enlisted and it's on the seventh level of that.
What are you currently ranked?
What is your position in the Navy?"
julianne_A12_1_3,"Military, Navy",so a normal work day for me will be making sure that I am checking the weather are checking %HESITATION everything that I need to know for my flight making sure that my plane is up to date making sure that maintenance is all clear and go and %HESITATION then will take off will fly rural land and then we'll debrief for about an hour and we'll go over everything every single step that we went over everything that I did and %HESITATION then I'll probably go home read a good book pass out ,"How will you spend most of your time at work?
What will you be doing during work
What do you have to do for work
How will you be spending your time"
