ID,topics,text,question
carlos_A1_1_1,Background,"So my name is Carlos�Rios. I'm a logistics lead supporting marine corps projects. I'm originally from Connecticut or New Haven, Connecticut. My mother�and father are from�Puerto Rico they migrated over to Connecticut and then from there after about six well I was about seven years old and moved over to a Philadelphia where I spent most of my most of my youth. About age 18-19 years old graduated high school and joined the marine corps. Twenty three years later, retired. During that time of course I got married. I have been married for twenty seven years. I have�two great kids, one currently attending USC and one in the near future want to attend Clemson, South Carolina�where I currently reside after my retirement from the marine corps. I spent two years as a contractor supporting the marine corps and I personally think I did such a good job that the government decided to bring it over to that side and support as a government employee and I've been doing that for about seven years high manage everything from my computer, servers, laptops to drones.","Who are you and what do you do?

What do you do?

What is your history?

I want to know everything about you?

Explain your background.

what is a deployment?

Tell me about yourself

Who are you?

what's deployment?"
carlos_A2_1_1,Background,My name is Carlos Rios.,"What is your name?

Who are you?

What do people call you?

How are you addressed?

What is your name?

hi

Hello"
carlos_A3_1_1,Background,I was born in 1967.,"What year were you born?

When were you born?

What is your date of birth?

What time were you born?

When was your birth year?

Which year were you born?"
carlos_A4_1_1,Background,I'm 50 years old.,"How old are you now?

What is your age?

How many years have you been alive?

How many birthdays have you had?

You look old.

Are you my age?

Are you old?

What's your age?"
carlos_A5_1_1,Background,"My birthday is December 1967, December 9th.","When is your birthday?

What date were you born?

In what month were you born?

What's your sign?

Is it your birthday?

When is your date of birth?"
carlos_A6_1_1,"Background, Childhood","I grew up in Philadelphia, originally from New Haven Connecticut.","Where did you grow up?

Where did you spend your childhood?

Where are you from?

Where did you go to high school?

Where's your hometown?

Where do you call home?

Were you born here?

Where were you born?

Where did you come from?"
carlos_A7_1_1,"Background, Childhood","My childhood was kind of average, of course, low income, single parent, government assistant.  My dad lived in Puerto Rico, my mother lived in Philadelphia; divorced.  But had a good childhood, always had the necessities. There's a difference between the necessities, what I need and what I want; we always had our needs.","Tell me about your childhood?

What was your childhood like?

What was it like for you growing up?

How were you raised?

When you were young, what was your family like?

Were you a good kid?

Were you a bad kid?

What kind of kid were you?

What happened when you were young?

did you get along with your parents?

did your parents encourage you to join the navy?

were your parents okay with you joining the army?"
carlos_A8_1_1,"Background, Family","Of course, my mother raised us. I had a brother and two sisters that we always still keep in touch and again we've all went different path. path you know in our lives.  They lived in another country and we still keep in communication.  Great thing about Facebook so we still try to communicate with every week with each other so.","Tell me about your family?

What is your family like?

What is your relationship with your family?

How well do you get along with your folks?

Who were your parents?

Do you like your parents?

how are your parents?

how is your family?

Are you close with your parents?

Do you like your family?

do you get along with your dad and mom?"
carlos_A9_1_1,"Background, Education","So what type of student was I through my education years.  From high school I got a bachelor's, where I finish my career with a bachelors, or my education with a bachelor's degree.  so I think I was in that I was a above average during my young year in my early years all the way to about 10th grade. 11th grade I was below average.  School wasn't the most important thing in in my life back then and there's plenty of reasons I can tell you or I can use as an excuse, but at the end of day I was a below average in fact I dropped out of school after I've done my 11th grade and then decided not to go back until circumstances pushed me back into education and that's probably where I started succeeding.  But again average student, below average and at that early years didn't understand the importance of the education system.","What kind of student were you?

How were you in school?

Were you a good student?

What are your study habits like?

Did your teachers like you?

Did you work hard in school?

Did you get good grades in school?

Did you get good grades?

how were you in high school?

Did you have a high GPA?

did you do well in school?"
carlos_A10_1_1,Background,"My mother's priority was always so that we were good members of our community, that we behave, that we didn't get in trouble.  It's unfortunate that education wasn't the number one priority. I missed a lot of days from school, I think I missed more than I actually attended.  Our home life, like my mother took care of us. Every Christmas we got our gift, every birthday we got our gift, we ate every day, we had our needs, not our wants again, but we had a good upbringing, something that I try to do my children now.","What was your home life like?

How was your home life?

What was the environment at your home like?

How was your home?

Did you have a good home life?

What can you say about your home life?"
